PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21884486","Editorial: Information and dementia: complexity and the obvious","Clarke CL.","Int J Older People Nurs. 2011 Sep;6(3):216. doi: 10.1111/j.1748-3743.2011.00292.x.","Clarke CL","Int J Older People Nurs","2011","2011/09/03","","","10.1111/j.1748-3743.2011.00292.x"
"25680496","Aging population","Ellison D, White D, Farrar FC.","Nurs Clin North Am. 2015 Mar;50(1):185-213. doi: 10.1016/j.cnur.2014.10.014.","Ellison D","Nurs Clin North Am","2015","2015/02/15","","","10.1016/j.cnur.2014.10.014"
"32717698","Nursing faculty and students' perspectives of how students learn to work with older people","Dahlke S, Davidson S, Kalogirou MR, Swoboda NL, Hunter KF, Fox MT, Pollard C, Baumbusch J, Salyers V.","Nurse Educ Today. 2020 Oct;93:104537. doi: 10.1016/j.nedt.2020.104537. Epub 2020 Jul 20.","Dahlke S","Nurse Educ Today","2020","2020/07/28","","","10.1016/j.nedt.2020.104537"
"28556871","Nursing Work in Long-Term Care: An Integrative Review","Montayre J, Montayre J.","J Gerontol Nurs. 2017 Nov 1;43(11):41-49. doi: 10.3928/00989134-20170519-02. Epub 2017 May 30.","Montayre J","J Gerontol Nurs","2017","2017/05/31","","","10.3928/00989134-20170519-02"
"25999076","Geriatric simulation: practicing management and leadership in care of the older adult","Miller S, Overstreet M.","Nurs Clin North Am. 2015 Jun;50(2):367-77. doi: 10.1016/j.cnur.2015.03.008.","Miller S","Nurs Clin North Am","2015","2015/05/23","","","10.1016/j.cnur.2015.03.008"
"31672286","The role of the geriatric nurse specialist as a key response in the care of the elderly, chronicity, complex chronicity and its consequences on dependence","Viña-García-Bericua M, Román-Medina I.","Enferm Clin. 2019 Nov-Dec;29(6):381-384. doi: 10.1016/j.enfcli.2019.09.013. Epub 2019 Oct 28.","Viña-García-Bericua M","Enferm Clin","2019","2019/11/02","","","10.1016/j.enfcli.2019.09.013"
"15592251","Pleural effusion: nursing care challenge in the elderly","Wing S.","Geriatr Nurs. 2004 Nov-Dec;25(6):348-52; quiz 353. doi: 10.1016/j.gerinurse.2004.09.016.","Wing S","Geriatr Nurs","2004","2004/12/14","","","10.1016/j.gerinurse.2004.09.016"
"26475138","Measuring the impact of informal elderly caregiving: a systematic review of tools","Mosquera I, Vergara I, Larrañaga I, Machón M, del Río M, Calderón C.","Qual Life Res. 2016 May;25(5):1059-92. doi: 10.1007/s11136-015-1159-4. Epub 2015 Oct 16.","Mosquera I","Qual Life Res","2016","2015/10/18","","","10.1007/s11136-015-1159-4"
"27059825","CNA Training Requirements and Resident Care Outcomes in Nursing Homes","Trinkoff AM, Storr CL, Lerner NB, Yang BK, Han K.","Gerontologist. 2017 Jun 1;57(3):501-508. doi: 10.1093/geront/gnw049.","Trinkoff AM","Gerontologist","2017","2016/04/10","","","10.1093/geront/gnw049"
"30520196","Caring for the older person with cognitive impairment in hospital: Qualitative analysis of nursing personnel reflections on fall events","Grealish L, Chaboyer W, Darch J, Real B, Phelan M, Soltau D, Lunn M, Brandis S, Todd JA, Cooke M.","J Clin Nurs. 2019 Apr;28(7-8):1346-1353. doi: 10.1111/jocn.14724. Epub 2019 Jan 8.","Grealish L","J Clin Nurs","2019","2018/12/07","","","10.1111/jocn.14724"
"20077962","Care of nursing home residents by advanced practice nurses. A review of the literature","Bakerjian D.","Res Gerontol Nurs. 2008 Jul;1(3):177-85. doi: 10.3928/00220124-20091301-01.","Bakerjian D","Res Gerontol Nurs","2008","2010/01/19","","","10.3928/00220124-20091301-01"
"19968723","Gerontological care in nursing education programmes","Deschodt M, de Casterlé BD, Milisen K.","J Adv Nurs. 2010 Jan;66(1):139-48. doi: 10.1111/j.1365-2648.2009.05160.x. Epub 2009 Nov 24.","Deschodt M","J Adv Nurs","2010","2009/12/09","","","10.1111/j.1365-2648.2009.05160.x"
"28475265","Patient-related complexity of care: a challenge or overwhelming burden for nurses - a qualitative study","Kentischer F, Kleinknecht-Dolf M, Spirig R, Frei IA, Huber E.","Scand J Caring Sci. 2018 Mar;32(1):204-212. doi: 10.1111/scs.12449. Epub 2017 May 5.","Kentischer F","Scand J Caring Sci","2018","2017/05/06","","","10.1111/scs.12449"
"12100646","Stroke patients in nursing homes: eating, feeding, nutrition and related care","Kumlien S, Axelsson K.","J Clin Nurs. 2002 Jul;11(4):498-509. doi: 10.1046/j.1365-2702.2002.00636.x.","Kumlien S","J Clin Nurs","2002","2002/07/09","","","10.1046/j.1365-2702.2002.00636.x"
"9534514","Nurse to nurse: consultation in geriatric nursing practice","Smith M, Horras S, Buckwalter KC.","Geriatr Nurs. 1998 Jan-Feb;19(1):38-43. doi: 10.1016/s0197-4572(98)90026-x.","Smith M","Geriatr Nurs","1998","1998/04/16","","","10.1016/s0197-4572(98)90026-x"
"17491130","The development and testing of a questionnaire to measure complexity of nursing work performed in nursing homes: NCCQ-NH","Velasquez D.","Geriatr Nurs. 2007 Mar-Apr;28(2):90-8. doi: 10.1016/j.gerinurse.2007.01.009.","Velasquez D","Geriatr Nurs","2007","2007/05/12","","","10.1016/j.gerinurse.2007.01.009"
"15842104","The impact of medical issues in inpatient geriatric psychiatry","Inventor BR, Henricks J, Rodman L, Imel J, Holemon L, Hernandez F.","Issues Ment Health Nurs. 2005 Jan;26(1):23-46. doi: 10.1080/01612840590883591.","Inventor BR","Issues Ment Health Nurs","2005","2005/04/22","","","10.1080/01612840590883591"
"26163012","Nursing home nurses' perceptions of emergency transfers from nursing homes to hospital: A review of qualitative studies using systematic methods","O'Neill B, Parkinson L, Dwyer T, Reid-Searl K.","Geriatr Nurs. 2015 Nov-Dec;36(6):423-30. doi: 10.1016/j.gerinurse.2015.06.001. Epub 2015 Jul 7.","O'Neill B","Geriatr Nurs","2015","2015/07/12","","","10.1016/j.gerinurse.2015.06.001"
"18714603","Person-centered caregiving instruction for geriatric nursing assistant students: development and evaluation","Grosch K, Medvene L, Wolcott H.","J Gerontol Nurs. 2008 Aug;34(8):23-31; quiz 32-3. doi: 10.3928/00989134-20080801-07.","Grosch K","J Gerontol Nurs","2008","2008/08/22","","","10.3928/00989134-20080801-07"
"24988722","A concept analysis of individualized aging","Cline DD.","Nurs Educ Perspect. 2014 May-Jun;35(3):185-92. doi: 10.5480/12-1053.1.","Cline DD","Nurs Educ Perspect","2014","2014/07/04","","","10.5480/12-1053.1"
"16672630","Keeping nursing home residents hydrated","Mentes JC, Chang BL, Morris J.","West J Nurs Res. 2006 Jun;28(4):392-406; discussion 407-18. doi: 10.1177/0193945906286607.","Mentes JC","West J Nurs Res","2006","2006/05/05","","","10.1177/0193945906286607"
"26014791","Transforming emergency services for frail older people in hospital","Thompson D, Rumley-Buss M, Conroy S.","Nurs Manag (Harrow). 2015 Jun;22(3):18-9. doi: 10.7748/nm.22.3.18.s29.","Thompson D","Nurs Manag (Harrow)","2015","2015/05/28","","","10.7748/nm.22.3.18.s29"
"29194135","Complexity of Care: A Concept Analysis of Older Adult Health Care Experiences","Cline DD.","Nurs Educ Perspect. 2015 Mar/Apr;36(2):108-113. doi: 10.5480/14-1362.","Cline DD","Nurs Educ Perspect","2015","2017/12/02","","","10.5480/14-1362"
"16849933","Screening instruments for use in a complete geriatric assessment","McClane KS.","Clin Nurse Spec. 2006 Jul-Aug;20(4):201-7. doi: 10.1097/00002800-200607000-00010.","McClane KS","Clin Nurse Spec","2006","2006/07/20","","","10.1097/00002800-200607000-00010"
"16921803","Fostering student interest in geriatric nursing: impact of senior long-term care experiences","Williams KN, Nowak J, Scobee RL.","Nurs Educ Perspect. 2006 Jul-Aug;27(4):190-3.","Williams KN","Nurs Educ Perspect","2006","2006/08/23","","",""
"18269540","Supporting quality improvement in care homes for older people: the contribution of primary care nurses","Davies S, Cripacc CG.","J Nurs Manag. 2008 Mar;16(2):115-20. doi: 10.1111/j.1365-2834.2007.00838.x.","Davies S","J Nurs Manag","2008","2008/02/14","","","10.1111/j.1365-2834.2007.00838.x"
"25245662","Undergraduate nurse attitudes toward older adults and perceptions of working with older adults: an analysis of measurement instruments","Neville C.","Nurse Educ Today. 2015 Jan;35(1):183-8. doi: 10.1016/j.nedt.2014.09.001. Epub 2014 Sep 16.","Neville C","Nurse Educ Today","2015","2014/09/24","","","10.1016/j.nedt.2014.09.001"
"25534507","Orchestrating care: nursing practice with hospitalised older adults","Dahlke SA, Phinney A, Hall WA, Rodney P, Baumbusch J.","Int J Older People Nurs. 2015 Dec;10(4):252-62. doi: 10.1111/opn.12075. Epub 2014 Dec 23.","Dahlke SA","Int J Older People Nurs","2015","2014/12/24","","","10.1111/opn.12075"
"26402210","The complexity of pain assessment in older people","Gregory J.","Nurs Older People. 2015 Oct;27(8):16-21. doi: 10.7748/nop.27.8.16.e738.","Gregory J","Nurs Older People","2015","2015/09/25","","","10.7748/nop.27.8.16.e738"
"20010251","Improving care in nursing homes using quality measures/indicators and complexity science","Rantz MJ, Flesner MK, Zwygart-Stauffacher M.","J Nurs Care Qual. 2010 Jan-Mar;25(1):5-12. doi: 10.1097/NCQ.0b013e3181c12b0f.","Rantz MJ","J Nurs Care Qual","2010","2009/12/17","PMC3254212","NIHMS347020","10.1097/NCQ.0b013e3181c12b0f"
"16892680","[Teaching of gerontogeriatric nursing and complexity]","Santos SS.","Rev Esc Enferm USP. 2006 Jun;40(2):228-35. doi: 10.1590/s0080-62342006000200011.","Santos SS","Rev Esc Enferm USP","2006","2006/08/09","","","10.1590/s0080-62342006000200011"
"22088615","The conceptualization and measurement of individualized care","Charalambous A, Chappell NL, Katajisto J, Suhonen R.","Geriatr Nurs. 2012 Jan-Feb;33(1):17-27. doi: 10.1016/j.gerinurse.2011.10.001. Epub 2011 Nov 16.","Charalambous A","Geriatr Nurs","2012","2011/11/18","","","10.1016/j.gerinurse.2011.10.001"
"26885519","Deconstructing Complex Multimorbidity in the Very Old: Findings from the Newcastle 85+ Study","Collerton J, Jagger C, Yadegarfar ME, Davies K, Parker SG, Robinson L, Kirkwood TB.","Biomed Res Int. 2016;2016:8745670. doi: 10.1155/2016/8745670. Epub 2016 Jan 13.","Collerton J","Biomed Res Int","2016","2016/02/18","PMC4738702","","10.1155/2016/8745670"
"10426068","Patient management in the subacute unit","Campbell I, Case C.","Lippincotts Prim Care Pract. 1999 Mar-Apr;3(2):231-41.","Campbell I","Lippincotts Prim Care Pract","1999","1999/07/30","","",""
"20100666","The Connected Learning Model for disseminating evidence-based care practices in clinical settings","Lekan D, Hendrix CC, McConnell ES, White H.","Nurse Educ Pract. 2010 Jul;10(4):243-8. doi: 10.1016/j.nepr.2009.11.013. Epub 2010 Jan 25.","Lekan D","Nurse Educ Pract","2010","2010/01/27","","","10.1016/j.nepr.2009.11.013"
"20925706","Dignity, dining and dialogue: reviewing the literature on quality of life for people with dementia","Venturato L.","Int J Older People Nurs. 2010 Sep;5(3):228-34. doi: 10.1111/j.1748-3743.2010.00236.x.","Venturato L","Int J Older People Nurs","2010","2010/10/08","","","10.1111/j.1748-3743.2010.00236.x"
"10763622","Defying gravity and fear: the prevention of falls in community-dwelling older adults","Baumann SL.","Clin Excell Nurse Pract. 1999 Sep;3(5):254-61.","Baumann SL","Clin Excell Nurse Pract","1999","2000/04/14","","",""
"21266292","Onco-geriatric approach for the management of older patients with cancer","Cesari M, Colloca G, Cerullo F, Ferrini A, Testa AC, Foti E, Ciaburri M, Scambia G, Bernabei R, Gambassi G.","J Am Med Dir Assoc. 2011 Feb;12(2):153-9. doi: 10.1016/j.jamda.2010.06.008. Epub 2010 Oct 8.","Cesari M","J Am Med Dir Assoc","2011","2011/01/27","","","10.1016/j.jamda.2010.06.008"
