PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Esteban-Burgos, Ana A.; Lozano-Terron, Maria Jose; Puente-Fernandez, Daniel; Hueso-Montoro, Cesar; Montoya-Juarez, Rafael; Garcia-Caro, Maria P.				; Montoya-Juarez, Rafael/H-1078-2017	Puente-Fernandez, Daniel/0000-0002-4917-9078; Montoya-Juarez, Rafael/0000-0003-2472-0590; HUESO-MONTORO, CESAR/0000-0003-1515-3870			A New Approach to the Identification of Palliative Care Needs and Advanced Chronic Patients among Nursing Home Residents								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				18	6					3171	10.3390/ijerph18063171				MAR 2021	2021	Background: Proper planning of Palliative Care in nursing homes requires advanced knowledge of the care needs that residents show. The aim of the study was to evaluate Palliative Needs and other conditions such as fragility, complexity, and prognosis and also to suggest new indicators for the establishment of the resident's advanced chronic condition. Methods: Cross-sectional study conducted in 149 nursing homes Complex Chronic residents evaluated by trained professionals. Palliative Care Needs, assessed by the NECPAL ICO-CCOMS (c) tool, and fragility, case and palliative complexity and prognosis were evaluate through a comprehensive assessment. Descriptive analyses and association measures were performed setting the statistical significance at 0.05. Results: More than 50% of the residents had positive Surprise Question and other Palliative Needs and were classified as Advanced Chronic Patients. Distress and/or Severe Adaptative Disorder was the most frequent need shown by the residents and significant differences in levels of frailty and other characteristics, were found between the Positive and the Negative Surprise Question Groups. Statistically significant correlations were also found between aspects of both groups. Conclusions: Nursing homes residents show Palliative Needs regardless of the response to the Surprise Question of the NECPAL tool. Other characteristics such as presence of an intermediate level of frailty are suggested as a new perspective to identify advanced chronic patients among nursing homes residents.									0	0	0	0	0	0	0				1660-4601		WOS:000639190800001	33808567	
J	Aagaard, Karin; Melendez-Torres, G. J.; Overgaard, Charlotte				Overgaard, Charlotte/Q-2032-2019; Overgaard, Charlotte/D-8083-2011	Overgaard, Charlotte/0000-0002-3370-2338; Overgaard, Charlotte/0000-0002-3370-2338; Aagaard, Karin/0000-0003-1482-6498; Melendez-Torres, G.J./0000-0002-9823-4790			Improving oral health in nursing home residents: A process evaluation of a shared oral care intervention								JOURNAL OF CLINICAL NURSING				29	17-18			3392	3402		10.1111/jocn.15373		JUN 2020		SEP 2020	2020	Aims and objectives To evaluate the process of implementing an oral care intervention in nursing homes in a Danish municipality. Background Older people with aged natural dentition require preventive and curative oral health care. An intervention based on principles of situated learning was implemented to establish closer cooperation between dental and nursing staff in nursing homes, leading to improved oral hygiene in nursing home residents. Design An embedded multiple-case study combined with principles of realist evaluation unfolded in three phases: Formulation of initial programme theory, Testing and Refining the programme theory. The COREQ checklist is followed in reporting. Methods Observations, six group interviews and 22 face-to-face interviews with dentists, dental practitioners, nursing home managers, care professionals and residents were conducted in three nursing homes (n = 41). Results Three main outcomes of a programme theory were identified, relating to (a) residents, in the form of new oral care routines; (b) interdisciplinary working, in the form of professional pride in performing sufficient oral care; (c) organisational level changes, in the form of increased interdisciplinary knowledge sharing. The overarching supportive mechanisms were the creation of relationships between residents, dental practitioners and care professionals as well as nursing home management taking responsibility for structure, planning and knowledge sharing. Conclusion The situated learning perspective supported residents and care professionals' competencies in performing sufficient oral care. The shared oral care intervention supports an individual and multidisciplinary assessment of nursing home residents' ability to self-care concerning oral care. Contextual factors, supportive and restraining mechanisms influence the intervention's success. Relevance to clinical practice Understanding the complexity within interdisciplinary cooperation in primary nursing and unravelling the necessary properties to enhance nursing home residents' oral health care are areas of improvement for care service in nursing homes.									1	0	0	0	0	0	1			0962-1067	1365-2702		WOS:000542562300001	32533875	
J	O'Neill, Desmond; Briggs, Robert; Holmerova, Iva; Samuelsson, Olafur; Gordon, Adam L.; Martin, Finbarr C.		European Geriatric Med Soc		; Gordon, Adam/C-3934-2018; O'Neill, Desmond/D-1486-2013; Holmerova, Iva/R-2284-2017	Samuelsson, Olafur Helgi/0000-0002-5336-1323; Gordon, Adam/0000-0003-1676-9853; O'Neill, Desmond/0000-0002-5542-9897; Holmerova, Iva/0000-0003-2375-4174			COVID-19 highlights the need for universal adoption of standards of medical care for physicians in nursing homes in Europe								EUROPEAN GERIATRIC MEDICINE				11	4	SI		645	650		10.1007/s41999-020-00347-6		JUN 2020		AUG 2020	2020	The nursing home sector has seen a disproportionately high number of deaths as part of the COVID-19 pandemic. This reflects, in part, the frailty and vulnerability of older people living in care homes but has also, in part, been a consequence of the failure to include care homes in the systematic planning of a response to COVID, as well as a measure of neglect of standards and quality improvement in the sector. In response, the EUGMS published a set of medical standards of care developed in consultation with experts across its member national societies in 2015. The standards consisted of seven core principles of medical care for physicians working in nursing homes as a first step in developing a programme of clinical, academic and policy engagement in improving medical care for older people who are living and frequently also dying as residents in nursing homes. The gravity of the concerns arising for nursing home care from the COVID-19 pandemic, as well as emerging insights on care improvement in nursing homes indicate that an update of these medical standards is timely. This was performed by the writing group from the original 2015 guidelines and is intended as an interim measure pending a more formal review incorporating a systematic review of emerging literature and a Delphi process.Key summary pointsAim The gravity of concerns arising for nursing home care from the COVID-19 pandemic mandates urgent review of medical standards for nursing homes. Findings Physicians providing medical care to nursing home residents should have a formal competence in geriatric medicine and old age psychiatry. Message The coordination of the broad range of complexities of care in nursing homes requires clearly specified clinical leadership commensurate with the range of services needed.									7	0	0	0	0	0	7			1878-7649	1878-7657		WOS:000541013000001	32557250	
J	Bischoff, Laura L.; Cordes, Thomas; Meixner, Charlotte; Schoene, Daniel; Voelcker-Rehage, Claudia; Wollesen, Bettina				Voelcker-Rehage, Claudia/ABA-2163-2020; Bischoff, Laura Luise/AAC-9476-2021; Bischoff, Laura/AAJ-9181-2021	Voelcker-Rehage, Claudia/0000-0001-5398-4099; Bischoff, Laura Luise/0000-0002-8765-2970; Schoene, Daniel/0000-0003-0717-5746			Can cognitive-motor training improve physical functioning and psychosocial wellbeing in nursing home residents? A randomized controlled feasibility study as part of the PROCARE project								AGING CLINICAL AND EXPERIMENTAL RESEARCH				33	4	SI		943	956		10.1007/s40520-020-01615-y		JUN 2020		APR 2021	2021	Background A multi-component training program holds promises for the elderly, but still has to be tested on its feasibility and effect in nursing homes. Aims The aim of this study was (1) to design a multi-component training program which improves physical functioning and psychosocial wellbeing and (2) to evaluate the feasibility of this intervention in nursing home residents. Methods This study is a two-arm, stratified-randomized controlled feasibility trail. Twenty-four nursing home residents (aged 83.7 +/- 6.4, 21 women) were divided into an intervention and a waiting-list control group. The intervention group completed a multi-component training (including dual-task, dynamic balance, endurance and strength exercises) for 16 weeks (twice per week for 45-60 min). Primary outcomes were lower extremity functionality (SPPB), gait performance (GAITRite), health-related quality of life (SF-12) as well as life satisfaction (SWLS). Results Life satisfaction (SWLS) and physical functioning (SPPB) increased in the intervention group after training whereas the control group showed a decrease. Gait parameters could only be analyzed forn = 5 participants of the intervention group andn = 2 of the control group and showed no time differences for the intervention group. The mean number of participants was 12.5 +/- 1.9 per session (attendance ranged between 66% and 90%). Conclusion A multi-component training seems (1) to lead to clinically relevant improvements in physical functioning as well as in psychosocial wellbeing and (2) to be feasible and well accepted in nursing home residents. Nevertheless, the complexity and progression of the program as well as the testing protocol have to be adapted. Further research should test the effectiveness of this adapted program in a larger sample size.									0	0	0	0	0	0	0			1594-0667	1720-8319		WOS:000540189800001	32537707	
J	Mello, Johanna de Almeida; Ces, Sophie; Vanneste, Dirk; Van Durme, Therese; Van Audenhove, Chantal; Macq, Jean; Fries, Brant; Declercq, Anja					Van Durme, Therese/0000-0003-3053-9245; van audenhove, chantal/0000-0002-5504-5439; De Almeida Mello, Johanna/0000-0002-1262-318X			Comparing the case-mix of frail older people at home and of those being admitted into residential care: a longitudinal study								BMC GERIATRICS				20	1						10.1186/s12877-020-01593-w				JUN 5 2020	2020	BackgroundIn order to optimize interventions and services in the community, it is important to identify the profile of persons who are able to stay at home and of those who are being admitted into residential care. Understanding their needs and their use of resources is essential. The main objective of the study is to identify persons who are likely to enter residential care based upon their needs and resource utilization, so that care providers can plan interventions effectively and optimize services and resources to meet the persons' needs.MethodsThis is a longitudinal quasi-experimental study. The data consists of primary data from the community setting collected every six months during the period of 2010-2016. Interventions had the goal of keeping older people longer at home. Participants were at least 65years old and were living in the community. The interRAI Resource Utilization Group system (RUG-III) was used to calculate the case-mix indexes (CMI) of all participants. Comparisons were made between the case-mix of those who were still living at home and those who were admitted into residential care at follow-up.ResultsA total of 10,289 older persons participated in the study (81.27.1yrs., 69.1% female). From this population, 853 participants (8.3%) were admitted into residential care. The CMI of the persons receiving night care at home were the highest (1.6 at baseline and 1.7 at the entry point of residential care), followed by persons receiving occupational therapy (1.5 at baseline and 1.6 at the entry point of residential care) and persons enrolled in case management interventions with rehabilitation (1.4 at baseline and 1.6 at the entry point of residential care). The CMIs at follow-up were significantly higher than at baseline and the linear regression model showed that admission to residential care was a significant factor in the model.Conclusions The study showed that the RUG-III system offers possibilities for identifying persons at risk of institutionalization. Interventions designed to avoid early nursing home admission can make use of the RUG-III system to optimize care planning and the allocation of services and resources. Based on the RUG-III case-mix, resources can be allocated to keep older persons at home longer, bearing in mind the complexity of care and the availability of services in the community.									1	0	0	0	0	0	1				1471-2318		WOS:000540246300004	32503445	
J	Sluggett, Janet K.; Hopkins, Ria E.; Chen, Esa Y. H.; Ilomaki, Jenni; Corlis, Megan; Van Emden, Jan; Hogan, Michelle; Caporale, Tessa; Ooi, Choon Ean; Hilmer, Sarah N.; Bell, J. Simon				Hilmer, Sarah N/AAW-8554-2020	Sluggett, Janet/0000-0002-9059-5209; Chen, Esa/0000-0002-9615-1916			Impact of Medication Regimen Simplification on Medication Administration Times and Health Outcomes in Residential Aged Care: 12 Month Follow Up of the SIMPLER Randomized Controlled Trial								JOURNAL OF CLINICAL MEDICINE				9	4					1053	10.3390/jcm9041053				APR 2020	2020	In the SImplification of Medications Prescribed to Long-tErm care Residents (SIMPLER) cluster-randomized controlled trial, we evaluated the impact of structured medication regimen simplification on medication administration times, falls, hospitalization, and mortality at 8 residential aged care facilities (RACFs) at 12 month follow up. In total, 242 residents taking >= 1 medication regularly were included. Opportunities for simplification among participants at 4 RACFs were identified using the validated Medication Regimen Simplification Guide for Residential Aged CarE (MRS GRACE). Simplification was possible for 62 of 99 residents in the intervention arm. Significant reductions in the mean number of daily medication administration times were observed at 8 months (-0.38, 95% confidence intervals (CI) -0.69 to -0.07) and 12 months (-0.47, 95%CI -0.84 to -0.09) in the intervention compared to the comparison arm. A higher incidence of falls was observed in the intervention arm (incidence rate ratio (IRR) 2.20, 95%CI 1.33 to 3.63) over 12-months, which was primarily driven by a high falls rate in one intervention RACF and a simultaneous decrease in comparison RACFs. No significant differences in hospitalizations (IRR 1.78, 95%CI 0.57-5.53) or mortality (relative risk 0.81, 95%CI 0.48-1.38) over 12 months were observed. Medication simplification achieves sustained reductions in medication administration times and should be implemented using a structured resident-centered approach that incorporates clinical judgement.									8	0	0	0	0	0	8				2077-0383		WOS:000531821000160	32276360	
J	Mudra, Ashley Klaczak								The Boomers Come of Age The Elderly and Frail Patients								PHYSICIAN ASSISTANT CLINICS				5	2			247	+		10.1016/j.cpha.2019.11.009				APR 2020	2020	Diabetes mellitus, specifically type 2, is becoming more prevalent in the United States, especially in the elderly population over the age of 65 years. Multiple factors to consider when managing diabetes in the advancing age are risk of hypoglycemia, polypharmacy and assessment of functional status, cognitive impairment, depression, and fall risk. Therefore, it is important to individualize glycemia targets to optimize blood glucose levels while considering these factors and life expectancy. A multidisciplinary team approach with health care professionals in a primary care setting, Endocrinologists, Nutritionists, Diabetes Educators and mental health counselors is essential for the education, prevention, and individualized diabetic treatment plan in the elderly population.									0	0	0	0	0	0	0			2405-7991			WOS:000519093000014		
J	Ausili, Davide; Bernasconi, Davide Paolo; Rebora, Paola; Prestini, Lucia; Beretta, Giorgio; Ferraioli, Laura; Cazzaniga, Anna; Valsecchi, Maria Grazia; Di Mauro, Stefania				REBORA, PAOLA/M-9098-2016	REBORA, PAOLA/0000-0003-0606-5852			Complexity of nursing care at 24h from admission predicts in-hospital mortality in medical units: a cohort study								BMC HEALTH SERVICES RESEARCH				20	1						10.1186/s12913-020-5038-5				MAR 6 2020	2020	BackgroundThe Informative System of Nursing Performance was developed to measure complexity of nursing care based on the actual interventions performed by nurses at the point of care. The association of this score with in-hospital mortality was not investigated before. Having this information is relevant to define evidence-based criteria that hospital administrators can use to allocate nursing workforce according to the real and current patients' need for nursing care. The aim of this study is to assess the association between complexity of nursing care and in-hospital mortality.MethodsRegister-based cohort study on all patients admitted to acute medical wards of a middle-large hospital in the North of Italy between January 1, 2014, to December 31, 2015 and followed up to discharge. Out of all the eligible 7247 records identified in the Hospital Discharge Register, 6872 records from 5129 patients have been included. A multivariable frailty Cox model was adopted to estimate the association between the Informative System of Nursing Performance score, both as continuous variable and dichotomized as low (score<50) or high (score<greater than or equal to>50), and in-hospital mortality adjusting for several factors recorded at admission (age, gender, type of admission unit, type of access and Charlson Comorbidity Index).ResultsThe median age of the 5129 included patients was 76 [first-third quartiles 64-84] and 2657(52%) patients were males. Over the 6872 admissions, there were 395 in-hospital deaths among 2922 patients at high complexity of nursing care (13.5%) and 74/3950 (1.9%) among those at low complexity leading to a difference of 11.6% (95% CI: 10.3-13.0%). Adjusting by relevant confounders, the hazard rate of mortality in the first 10days from admission resulted 6 times significantly higher in patients at high complexity of nursing care with respect to patients at low complexity (hazard ratio, HR 6.58, 95%CI: 4.50;9.62, p<0.001). The HR was lower after 10days from admission but still significantly higher than 1. By considering the continuous score, the association was confirmed.ConclusionComplexity of nursing care is strongly associated to in-hospital mortality of acute patients admitted to medical departments. It predicts in-hospital mortality better than widely used indicators, such as comorbidity.									1	0	0	0	0	0	1				1472-6963		WOS:000519059200010	32143625	
J	Oliveira, Fabiana Maria Rodrigues Lopes de; Barbosa, Keylla Talitha Fernandes; Rodrigues, Mayara Muniz Peixoto; Fernandes, Maria das Graças Melo					Fernandes Barbosa, Keylla Talitha/0000-0001-6399-002X; RODRIGUES, MAYARA/0000-0002-0578-8146			Frailty syndrome in the elderly: conceptual analysis according to Walker and Avant	Síndrome del anciano frágil: análisis conceptual según Walker y Avant	Síndrome do idoso frágil: análise conceitual de acordo com Walker e Avant						Revista Brasileira de Enfermagem				73	suppl 3			e20190601	e20190601		10.1590/0034-7167-2019-0601				2020	2020	ABSTRACT Objective: To analyze the concept of “frailty syndrome” in the literature, according to the method proposed by Walker and Avant. Methods: It is a concept analysis, guided by the method proposed by Walker and Avant, made operational through an integrative literature review. The search in a scientific database was carried out using the descriptors: Frail elderly, syndrome, phenotype, geriatric assessment, and aging. The literary corpus comprised 66 studies. Results: The study found the antecedents and attributes (categorized as physical, sociodemographic, and behavioral/environmental) that integrate the signs and symptoms evidenced in the “frailty syndrome,” as well as the consequences of this concept. The variables were analyzed with emphasis on the conceptions that influence the frailty process of the elderly. Conclusion: The study demonstrated the complexity arising from the multifactorial genesis of the referred syndrome, emphasizing the specificities of the elderly’s frailty. However, we recommend conducting further research involving the phenomenon in question to understand the construct better.	RESUMEN Objetivo: Analizar el concepto “síndrome del anciano frágil”, en la literatura, según el método propuesto por Walker y Avant. Métodos: Se trata de un análisis de concepto, orientada por el método propuesto por Walker y Avant, es operacionada mediante revisión integrativa de la literatura. La búsqueda en base de datos científicos ha sido efectuada utilizándose los descriptores: Frail elderly, syndrome, phenotype, geriatric assessment y aging. Para componer el corpus literario, han sido seleccionados 66 estudios. Resultados: Se ha constatado los antecedentes y atributos (categorizados en físicos, sociodemográficos, y comportamentales/ambientales) que integran los señales y síntomas evidenciados en el “síndrome del anciano frágil”, así como los consecuentes del referido concepto. Ha procedido al análisis de las variables con destaque para las concepciones que influencian el proceso de fragilidad del anciano. Conclusión: El estudio demostró la complejidad proveniente de la génesis multifactorial del referido síndrome, resaltando las especificidades de la fragilidad del anciano. Sin embargo, se recomienda la realización de nuevas investigaciones envolviendo el fenómeno en cuestión para mejor comprensión del constructo.	RESUMO Objetivo: Analisar o conceito “síndrome do idoso frágil”, na literatura, de acordo com o método proposto por Walker e Avant. Métodos: Trata-se de uma análise de conceito, orientada pelo método proposto por Walker e Avant, operacionalizada mediante revisão integrativa da literatura. A busca em base de dados científicos foi efetivada utilizando-se os descritores: Frail elderly, syndrome, phenotype, geriatric assessment e aging. Para compor o corpus literário, foram elencados 66 estudos. Resultados: Constataram-se os antecedentes e atributos (categorizados em físicos, sociodemográficos, e comportamentais/ambientais) que integram os sinais e sintomas evidenciados na “síndrome do idoso frágil”, bem como os consequentes do referido conceito. Procedeu-se à análise das variáveis com destaque para as concepções que influenciam o processo de fragilização do idoso. Conclusão: O estudo demonstrou a complexidade proveniente da gênese multifatorial da referida síndrome, ressaltando as especificidades da fragilidade do idoso. Contudo, recomenda-se a realização de novas pesquisas envolvendo o fenômeno em questão para melhor compreensão do constructo.							0	0	0	0	0	0	0			1984-0446			SCIELO:S0034-71672020001500302	32756800	
J	Stiel, Stephanie; Krause, Olaf; Berndt, Carolin Sophie; Ewertowski, Helen; Mueller-Mundt, Gabriele; Schneider, Nils					Stiel, Stephanie/0000-0002-5963-2526			Caring for frail older patients in the last phase of life Challenges for general practitioners in the integration of geriatric and palliative care								ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE				53	8	SI		763	769		10.1007/s00391-019-01668-3		DEC 2019		DEC 2020	2020	Background The best possible care for frail older patients at the end of life can require the integration of geriatric and palliative approaches, possibly with different accentuations at different times. General practitioners (GP) are particularly important in this context: they provide patients with low-threshold primary care close to their homes and provide both general palliative care and geriatric services. Objective What are the challenges for GPs in caring for frail older patients at the end of their lives? Material and methods A secondary data analysis of 52 qualitative interviews was carried out, which were serially obtained at 4 points in time over a period of 18 months with 14 family doctors. In addition, one focus group with five GPs took place. The analysis was carried out according to the principles of grounded theory. Results The results show that GPs see the care of frail older patients at the end of their lives through a) the growing number of older people, b) multimorbidity and complexity of the problem areas, c) the integration of geriatric and palliative approaches, d) the high average age of general practitioners and the lack of junior staff and e) the problem of ensuring care in rural areas as a major challenge. The practical transition between geriatric and palliative care is considered by GPs to be fluid and there is a desire for more integration of both disciplines. Conclusion In this study GPs perceived a large overlap between geriatric and palliative care. Both approaches should be offered for a selection of patients as a combined service. In the future a systematic network between GPs and geriatricians in practices, clinics, and day clinics will be necessary.									3	0	0	0	0	0	3			0948-6704	1435-1269		WOS:000566054900001	31828367	
