PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Dupuis-Blanchard, Suzanne; Bigonnesse, C.; Andrew, M. K.; Gould, O.; Maillet, D.				Andrew, Melissa/AAR-7052-2021				Impact of Social Frailty on Relocation of Older Adults								JOURNAL OF FRAILTY & AGING											10.14283/jfa.2021.3		MAY 2021			2021	Background: The relationship between frailty and variables such as housing are the least included in models of frailty and research on frailty or social frailty and relocation is negligible. The decision to relocate is complex and demanding for older adults with a loss of independence but little is known about what makes older adults relocate to congregated housing designated for older adults, let alone in combination with social frailty, and how they navigate this transition. Objectives: This mixed method descriptive study aims to understand the influence of social frailty for a population of French-speaking semi-independent older adults relocating to a housing continuum community. Design: Semi-structured individual interviews including sociodemographic data and the PRISMA-7 Frailty Scale were conducted with recently relocated older adults. Setting: A newly opened French-speaking housing continuum community in Eastern Canada that offers luxury apartments for independent older adults, two assisted living facilities for semi-independent older adults along with a long-term care facility. Participants: Twenty-nine older adults with a mean age of 85 years, mostly female, married or widowed and highly educated. Measurements Content analysis of the transcribed recorded interviews and descriptive statistical analyses to examine relationships between the frailty PRISMA-7 scale, answers to additional questions and the sociodemographic data. Results: There was not a significant difference in the scores for socialization before and after relocation nor between prior help and current help; however, there was a significant negative correlation between help and socialization before and after relocation. Three main themes included: imposed influences, push and pull factors and post relocation. Conclusions: The results indicate that several social factors contributed to relocation and that participants were experiencing social frailty. Participants were at the crossover point of being vulnerable to experiencing additional deficits which would potentially have led to higher frailty had they not relocated.									0	0	0	0	0	0	0			2260-1341	2273-4309		WOS:000649209100001	34105710	
J	Esteban-Burgos, Ana A.; Lozano-Terron, Maria Jose; Puente-Fernandez, Daniel; Hueso-Montoro, Cesar; Montoya-Juarez, Rafael; Garcia-Caro, Maria P.				; Montoya-Juarez, Rafael/H-1078-2017	Puente-Fernandez, Daniel/0000-0002-4917-9078; Montoya-Juarez, Rafael/0000-0003-2472-0590; HUESO-MONTORO, CESAR/0000-0003-1515-3870			A New Approach to the Identification of Palliative Care Needs and Advanced Chronic Patients among Nursing Home Residents								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				18	6					3171	10.3390/ijerph18063171				MAR 2021	2021	Background: Proper planning of Palliative Care in nursing homes requires advanced knowledge of the care needs that residents show. The aim of the study was to evaluate Palliative Needs and other conditions such as fragility, complexity, and prognosis and also to suggest new indicators for the establishment of the resident's advanced chronic condition. Methods: Cross-sectional study conducted in 149 nursing homes Complex Chronic residents evaluated by trained professionals. Palliative Care Needs, assessed by the NECPAL ICO-CCOMS (c) tool, and fragility, case and palliative complexity and prognosis were evaluate through a comprehensive assessment. Descriptive analyses and association measures were performed setting the statistical significance at 0.05. Results: More than 50% of the residents had positive Surprise Question and other Palliative Needs and were classified as Advanced Chronic Patients. Distress and/or Severe Adaptative Disorder was the most frequent need shown by the residents and significant differences in levels of frailty and other characteristics, were found between the Positive and the Negative Surprise Question Groups. Statistically significant correlations were also found between aspects of both groups. Conclusions: Nursing homes residents show Palliative Needs regardless of the response to the Surprise Question of the NECPAL tool. Other characteristics such as presence of an intermediate level of frailty are suggested as a new perspective to identify advanced chronic patients among nursing homes residents.									0	0	0	0	0	0	0				1660-4601		WOS:000639190800001	33808567	
J	Verweij, Lotte; Spoon, Denise F.; Terbraak, Michel S.; Jepma, Patricia; Peters, Ron J. G.; Reimer, Wilma J. M. Scholte Op; Latour, Corine H. M.; Buurman, Bianca M.					Terbraak, Michel/0000-0002-0265-4556; Verweij, Lotte/0000-0002-0672-6668			The Cardiac Care Bridge randomized trial in high-risk older cardiac patients: A mixed-methods process evaluation								JOURNAL OF ADVANCED NURSING				77	5			2498	2510		10.1111/jan.14786		FEB 2021		MAY 2021	2021	Aim To evaluate healthcare professionals' performance and treatment fidelity in the Cardiac Care Bridge (CCB) nurse-coordinated transitional care intervention in older cardiac patients to understand and interpret the study results.Design A mixed-methods process evaluation based on the Medical Research Council Process Evaluation framework.Methods Quantitative data on intervention key elements were collected from 153 logbooks of all intervention patients. Qualitative data were collected using semi-structured interviews with 19 CCB professionals (cardiac nurses, community nurses and primary care physical therapists), from June 2017 until October 2018. Qualitative data-analysis is based on thematic analysis and integrated with quantitative key element outcomes. The analysis was blinded to trial outcomes. Fidelity was defined as the level of intervention adherence.Results The overall intervention fidelity was 67%, ranging from severely low fidelity in the consultation of in-hospital geriatric teams (17%) to maximum fidelity in the comprehensive geriatric assessment (100%). Main themes of influence in the intervention performance that emerged from the interviews are interdisciplinary collaboration, organizational preconditions, confidence in the programme, time management and patient characteristics. In addition to practical issues, the patient's frailty status and limited motivation were barriers to the intervention.Conclusion Although involved healthcare professionals expressed their confidence in the intervention, the fidelity rate was suboptimal. This could have influenced the non-significant effect of the CCB intervention on the primary composite outcome of readmission and mortality 6 months after randomization. Feasibility of intervention key elements should be reconsidered in relation to experienced barriers and the population.Impact In addition to insight in effectiveness, insight in intervention fidelity and performance is necessary to understand the mechanism of impact. This study demonstrates that the suboptimal fidelity was subject to a complex interplay of organizational, professionals' and patients' issues. The results support intervention redesign and inform future development of transitional care interventions in older cardiac patients.									1	0	0	0	0	0	1			0309-2402	1365-2648		WOS:000618632800001	33594695	
J	Deschacht, Martha; Malfait, Simon; Eeckloo, Kristof								Integrated care for older adults during the COVID-19 pandemic in Belgium: Lessons learned the hard way								INTERNATIONAL JOURNAL OF OLDER PEOPLE NURSING				16	3					e12366	10.1111/opn.12366		FEB 2021		MAY 2021	2021	The corona pandemic challenges countries worldwide in many different ways. Due to its magnitude and impact on global health, this health crisis exposes several shortcomings in their health systems and emphasizes their shortcomings and deficiencies. These deficiencies have quickly affected the most frail citizens, such as older people. The first wave of the COVID19 pandemic in Belgium has quickly shown that nursing homes were not prepared for these kinds of crises. The nature, speed and extent gave rise to an accelerated and more extensive collaboration between various nursing homes and Ghent University Hospital. Before this crisis, the level of integrated care between nursing homes and hospitals was mostly limited. But setting up a strong collaboration model and integrated care between nursing homes and hospitals enables the nursing homes to manage this specific and complex care in their own environment.Implications for practice: This case study shows that integrated care is possible and that both the hospital and the nursing homes benefit from such a system. Investments in people, resources, training and guidance concerning transitional care and knowledge exchange between hospitals and nursing homes, are necessary to guarantee a more efficient and robust approach to (pandemic) crises in nursing homes.									0	0	0	0	0	0	0			1748-3735	1748-3743		WOS:000616831800001	33570259	
J	Toles, M.; Colon-Emeric, C.; Hanson, L. C.; Naylor, M.; Weinberger, M.; Covington, J.; Preisser, J. S.								Transitional care from skilled nursing facilities to home: study protocol for a stepped wedge cluster randomized trial								TRIALS				22	1					120	10.1186/s13063-021-05068-0				FEB 5 2021	2021	Background Skilled nursing facility (SNF) patients are medically complex with multiple, advanced chronic conditions. They are dependent on caregivers and have experienced recent acute illnesses. Among SNF patients, the rate of mortality or acute care use is over 50% within 90 days of discharge, yet these patients and their caregivers often do not receive the quality of transitional care that prepares them to manage serious illnesses at home. Methods The study will test the efficacy of Connect-Home, a successfully piloted transitional care intervention targeting seriously ill SNF patients discharged to home and their caregivers. The study setting will be SNFs in North Carolina, USA, and, following discharge, in patients' home. Using a stepped wedge cluster randomized trial design, six SNFs will transition at randomly assigned intervals from standard discharge planning to the Connect-Home intervention. The SNFs will contribute data for patients (N = 360) and their caregivers (N = 360), during both the standard discharge planning and Connect-Home time periods. Connect-Home is a two-step intervention: (a) SNF staff create an individualized Transition Plan of Care to manage the patient's illness at home; and (b) a Connect-Home Activation RN visits the patient's home to implement the written Transition Plan of Care. A key feature of the trial includes training of the SNF and Home Care Agency staff to complete the transition plan rather than using study interventionists. The primary outcomes will be patient preparedness for discharge and caregiver preparedness for caregiving role. With the proposed sample and using a two-sided test at the 5% significance level, we have 80% power to detect a 18% increase in the patient's preparedness for discharge score. We will employ linear mixed models to compare observations between intervention and usual care periods to assess primary outcomes. Secondary outcomes include (a) patients' quality of life, functional status, and days of acute care use and (b) caregivers' burden and distress. Discussion Study results will determine the efficacy of an intervention using existing clinical staff to (a) improve transitional care for seriously ill SNF patients and their caregivers, (b) prevent avoidable days of acute care use in a population with persistent risks from chronic conditions, and (c) advance the science of transitional care within end-of-life and palliative care trajectories of SNF patients and their caregivers. While this study protocol was being implemented, the COVID-19 pandemic occurred and this protocol was revised to mitigate COVID-related risks of patients, their caregivers, SNF staff, and the study team. Thus, this paper includes additional material describing these modifications.									0	0	0	0	0	0	0				1745-6215		WOS:000617401000005	33546737	
J	Devi, Reena; Goodman, Claire; Dalkin, Sonia; Bate, Angela; Wright, Judy; Jones, Liz; Spilsbury, Karen				Wright, Judy/B-3768-2011	Wright, Judy/0000-0002-5239-0173; Goodman, Claire/0000-0002-8938-4893			Attracting, recruiting and retaining nurses and care workers working in care homes: the need for a nuanced understanding informed by evidence and theory								AGE AND AGEING				50	1			65	67		10.1093/ageing/afaa109				JAN 2021	2021	The care home sector relies on nurses and care workers to deliver care to residents living with frailty and complex needs. However, attracting, recruiting and retaining staff is one of the biggest challenges facing this sector. There is evidence available that describes factors that influence staff decisions to join and/or remain in the care home workforce, for example, individual rewards (such as feeling valued at work or training opportunities), relationships with colleagues and residents, supportive management or working arrangements (including flexible hours). However, it is less clear how different strategies are informed by evidence to improve recruitment and retention. Care homes are heterogeneous in terms of their size, staffing levels and mix, staff age groups, geographical location and working conditions. What matters to different members of the care home workforce will vary across nurses and care workers of different ages and levels of qualification or experience. Recognising this diversity is key: understanding how to attract, recruit and retain staff needs to discriminate and offer solutions that address this diversity. This important area of practice does not lend itself to a 'one-approach-fits-all' solution. This commentary provides a brief overview of known workforce challenges for the care home sector and argues for studies that use empirical evidence to test different theories of what might work for different staff, how and why, and in different circumstances.									0	0	0	0	0	0	0			0002-0729	1468-2834		WOS:000646848300015	32614968	
J	van der Cingel, Margreet; Bulle-Smid, Loes; Holterman, Sander; Prins, Hilco; Keuning, Wouter; Hettinga, Marike								From clinical reasoning to ehealth interventions; a study on how nurses asses care and ehealth in home care								NURSE EDUCATION IN PRACTICE				50						102925	10.1016/j.nepr.2020.102925				JAN 2021	2021	The assessment of care in homecare today is complex. Nurses have to decide on care for clients with multiple health problems. Technological innovations promise solutions for support of self-management of older people. We do not know, however, how and when nurses assess eHealth. A qualitative study design was used, in which 43 homecare nurses participated in focus groups and think aloud interviews. The study shows that nurses believe a trusting relationship necessary in order to suggest eHealth interventions. Nurses say they need home visits for the assessment of eHealth. Nurses also have some strong opinions on eHealth, like the notion that eHealth isn't a fitting option for frail older people. It becomes clear that nurses need to see eHealth interventions fit for clients in a person-centred way and in close connection to health problems they've prioritised in order to assess it. Implications for practice and further research are to focus on how nurses can be convinced to assess and use eHealth in a person-centred way and how to discuss this with their clients. Next to that training and a tool that provides up to date information linked to frequently seen health problems are recommended.									0	0	0	0	0	0	0			1471-5953			WOS:000614932700007	33285403	
J	Simo, N.; Cesari, M.; Tchiero, H.; Rolland, Y.; Barreto, P. De Souto; Dartigues, J. F.; Vellas, B.; Tabue-Teguo, M.								Frailty Index, Hospital Admission and Number of Days Spent in Hospital in Nursing Home Residents: Results from the INCUR Study								JOURNAL OF NUTRITION HEALTH & AGING				25	2			155	159		10.1007/s12603-020-1561-7		DEC 2020		FEB 2021	2021	Objectives To investigate the predictive capacity of an age-related deficit accumulation index (the so-called Frailty Index [FI] proposed by Rockwood) for hospital admission (HA) and number of days spent in hospital (DSH) among nursing home residents. Design, setting and participants Data are from a longitudinal cohort study, the Incidence of pNeumonia and related ConseqUences in nursing home Residents (INCUR), of 768 elder people (75.4% women) living in 13 nursing homes in France. Measurements The FI was computed taking into account 30 possible deficits at the baseline visit. Hospital admissions were defined as all urgent and involuntary admissions including unplanned readmissions. The length of stay was the total number of days spent by the resident in the hospital. Cox proportional hazard models in the presence of competing risks (death) were performed to study the relationship between the FI and HA over a 12-month follow-up. A Zero-inflated negative binomial regression was performed to study the association between the FI and DSH. Results Mean age of participants was 86.7 (standard deviation [SD] 6.9) years, with a mean FI of 0.37 (SD 0.11). At the end of the follow-up, 238 (30.9%) HA events were recorded. Positive associations of the FI with DSH and HA were reported (per 0.01 FI increment: age- and gender-adjusted hazard ratio 1.15, 95% confidence interval 1.020-1.297, p=0.02 and OR 1.209 (1.075-1.359, p<0.001, respectively). Conclusions and Implications The FI is a strong predictor of negative health-related outcomes as HA and DSH events, even with very old and complex nursing home residents.									0	0	0	0	0	0	0			1279-7707	1760-4788		WOS:000602291900003	33491028	
J	Mc Lernon, Siobhan; Werring, David; Terry, Louise					Mc Lernon, Siobhan/0000-0002-1399-4660			Clinicians' Perceptions of the Appropriateness of Neurocritical Care for Patients with Spontaneous Intracerebral Hemorrhage (ICH): A Qualitative Study								NEUROCRITICAL CARE											10.1007/s12028-020-01145-5		DEC 2020			2020	Background and Objective Clinicians working in intensive care frequently report perceptions of inappropriate care (PIC) situations. Intracerebral haemorrhage (ICH) is associated with high rates of mortality and morbidity. Prognosticating after ICH is complex and may be influenced by clinicians' subjective impressions and biases, which may, in turn, influence decision making regarding the level of care provided. The aim of this study was to qualitatively explore perceptions of neurocritical care in relation to the expected functional outcome for ICH patients. Design Qualitative study using semi-structured interviews with neurocritical care doctors and nurses. Setting Neurocritical care (NCC) department in a UK neuroscience tertiary referral center. Subjects Eleven neurocritical care nurses, five consultant neurointensivists, two stroke physicians, three neurosurgeons. Intervention None. Measurements and Main Results We conducted 21 semi-structured interviews and identified five key themes: (1) prognostic uncertainty (2) subjectivity of good versus poor outcome (3) perceived inappropriate care (PIC) situations (including for frail elderly patients) (4) challenging nature of decision-making (5) clinician distress. Conclusions Caring for severely affected ICH patients in need of neurocritical care is challenging, particularly with frail elderly patients. Awareness of the challenges could facilitate interventions to improve decision-making for this group of stroke patients and their families, as well as measures to reduce the distress on clinicians who care for this patient group. Our findings highlight the need for effective interdisciplinary shared decision making involving the family, taking into account patients' previously expressed values and preferences and incorporating these into bespoke care planning.									1	0	0	0	0	0	1			1541-6933	1556-0961		WOS:000595031400002	33263147	
J	Locsin, Rozzano C.; Pepito, Joseph Andrew; Juntasopeepun, Phanida; Constantino, Rose E.					LOCSIN, ROZZANO/0000-0002-2952-6538			Transcending human frailties with technological enhancements and replacements: Transhumanist perspective in nursing and healthcare								NURSING INQUIRY				28	2					e12391	10.1111/nin.12391		NOV 2020		APR 2021	2021	As human beings age, they become weak, fragile, and feeble. It is a slowly progressing yet complex syndrome in which old age or some disabilities are not prerequisites; neither does loss of human parts lead to frailty among the physically fit older persons. This paper aims to describe the influences of transhumanist perspectives on human-technology enhancements and replacements in the transcendence of human frailties, including those of older persons, in which technology is projected to deliver solutions toward transcending these frailties. Through technologies including genetic screening and other technological manipulations, intelligent machines and augmented humans improve, maintain, and remedy human-linked susceptibilities. Furthermore, other technologies replace parts fabricated through inorganic-mechanical processes such as 3D-printing. Advancing technologies are reaching the summit of technological sophistication contributing to the transhumanist views of being human in a technological world. Technologies enhance the transcendence of human frailties as essential expressions of the symbiosis between human beings and technology in a transcendental world.									1	0	0	0	0	0	1			1320-7881	1440-1800		WOS:000587000600001	33159824	
