	id	title	year	auth_id	doi	pmid	umi	journal_id	volume	issue	start_page	abstract	url	date_added	repeats	filename	nursauth	id_1	name	nurs	id_2	name_3	lastname	firstname	Exclude	title_use	abstract_mentions_count	complexity_mentions	complexity_title_use
27	28	Complicated Versus Complexity: When An Old Woman And Her Daughter Meet The Health Care System.	2020	28	10.1186/s12905-020-01092-5	33046068		28	20.0	1.0	230	"BACKGROUND: Detecting infection in frail elderly is a challenge due to lack of specific signs and symptoms. We highlight the complex situation when an elderly woman with urinary tract infection (UTI) and her daughter meet the highly qualified health care system. The aim was to describe and analyze the process when an elderly individual with an acute infection encounters the healthcare system. METHODS: A descriptive, retrospective Single Case Study design with a qualitative approach was used. Data from interviews with the old women and her daughter, medical record data and different regulatory documents were gathered and analysed with a qualitative content analysis. In a second step, the results were interpreted with concepts from the complexity theory. Complexity theory has been used as a conceptual framework for analysis or a framework for interpretation. In this study we are using the theory for interpretation by comparing the results with the complexity theory, which is explored in the discussion. RESULTS: The latent content analysis of the daughter's story is interpreted as though she perceives the situation as causing a life crisis and a threat to her mother's entire existence. The old women herself does not take part in what is happening, though after returning to home she is trying to understand her behaviour and what has happened. The health care tries different diagnoses and treatment according to standardized care plans without success. When urinary tract infection is finally diagnosed and treated successfully, the old women recovers quickly. CONCLUSION: The healthcare system should embrace the complexity in the encounter with an elderly individual. However, we found that the immediate reaction from the healthcare system is to handle the patients' problem as complicated by complexity reduction. Shortcomings are that elderly patients with multiple disorders are difficult to evaluate and triage ""correctly"" for later placement in the appropriate continuum of care, although the findings of this case study also imply that with time the system instead took on an approach of absorption of complexity."		2021-07-02 01:27:51	1	pubmed-frailtyMeS-complexorcomplexity-allaging-_2021.06.24.txt	1.0	28	Bmc Women'S Health		28	sund levander,mÃ¤rta	Sund Levander	MÃ¤rta		1.0	7.0	6.0	1.0
323	324	Unravelling The Differences Between Complexity And Frailty In Old Age: Findings From A Constructivist Grounded Theory Study.	2011	343	10.1111/j.1365-2850.2010.01630.x			343	18.0	1.0	67	UK health policy has used the terms 'frailty' and 'complexity' synonymously but there is no common definition for either. Understanding these concepts is important if demand for health care created by the increasing number of older people in society is to be managed effectively. This paper explores some findings from a study into how mental health nurses who work with older people construct and operationalize the concept of 'age-related complexity'. Constructivist grounded theory was used. Audio-taped interviews were undertaken with 13 registered nurses and were analysed using a constant comparative method. This paper addresses the relationship between frailty and complexity, which was identified as a theme within the category 'dynamic complexity'. The findings suggest that nurses understand important differences between the two concepts. Frailty is exclusively used to describe physical states while complexity is a more encompassing term that has resonance and relevance in mental health services. The dynamic nature of complexity means that older people can become both more and less complex and this has implications for nursing practice that require further study.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=57220072&site=ehost-live	2021-07-02 01:29:56	2	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	343	Journal of Psychiatric & Mental Health Nursing (John Wiley & Sons, Inc.)	1.0	343	mcgeorge,s.j	mcgeorge	s.j		1.0	7.0	6.0	1.0
328	329	Frailty And The Degradation Of Complex Balance Dynamics During A Dual-Task Protocol.	2009	349	10.1093/gerona/glp113			210		12.0	1304	Background: Balance during quiet stance involves the complex interactions of multiple postural control systems, which may degrade with frailty. The complexity of center of pressure (COP) dynamics, as quantified using multiscale entropy (MSE), during quiet standing is lower in older adults, especially those with falls. We hypothesized that COP dynamics from frail elderly individuals demonstrate less complexity than those from nonfrail elderly controls; complexity decreases when performing a dual task; and postural complexity during quiet standing is independent of other conventional correlates of balance control, such as age and vision.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=47451679&site=ehost-live	2021-07-02 01:29:56	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	210	Journals of Gerontology Series A: Biological Sciences & Medical Sciences		349	hyun,gu.kang	hyun	gu.kang	Y	1.0	5.0	4.0	0.0
361	362	From Double Jeopardy To Double Indemnity: Subtleties Of Teaching Interdisciplinary Geriatrics.	2002	386	10.1080/03601270290081380			192	28.0	6.0	433	Each of the fields of geriatrics and interdisciplinary practice intensifies the usefulness and effectiveness of the other. Combining geriatrics and interdisciplinary practice also magnifies the complexity of two singularly complex fields. However, the subtle reasons for their complexity may escape the understanding of clinicians, educators, policy makers, and administrators. Attempting to treat older patients who have complex problems while ignoring common principles of geriatrics and teamwork can cause a kind of double jeopardy. It can potentially harm the patient and decrease the provider's sense of mastery. Training either students or health care providers to appreciate the interactions and the complexities of these two fields could produce a double indemnity for the health care system and for older persons who need health care. It requires recognizing subtle factors like the barrier of presumed knowledge, the interpretation of the meaning of function, frailty, the lure of medical technology, professional hierarchies, diverse views of disease, and the myth of insufficient evidence.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=6924781&site=ehost-live	2021-07-02 01:29:57	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	192	Educational Gerontology		386	drinka,theresa.j.k	drinka	theresa.j.k	Y	0.0	5.0	2.0	0.0
244	245	Preventing Hospitalization With Veterans Affairs Home-Based Primary Care: Which Individuals Benefit Most?	2017	251	10.1111/jgs.14843			144	65.0	8.0	1676	Objectives To examine how medical complexity modifies the relationship between enrollment in Department of Veterans Affairs ( VA) home-based primary care ( HBPC) and hospitalization for ambulatory care-sensitive conditions ( ACSC) for veterans with diabetes mellitus and whether the effect of HBPC on hospitalizations varies according to clinical condition. Design Retrospective cohort study. Setting VA and non- VA hospitals. Participants VA beneficiaries aged 67 and older with diabetes mellitus and enrolled in Medicare (N = 364,972). Measurements Instrumental variables regression models were used to estimate the effect of HBPC enrollment on hospitalization for ACSCs (defined according to the Agency for Healthcare Research and Quality Prevention Quality Indicators) overall and in subgroups stratified according to medical complexity. Models were also estimated for each ACSC to determine which conditions were most sensitive to HBPC. Distance from the veteran's residence to the nearest HBPC site was used as the instrumental variable. Results HBPC was associated with fewer ACSC hospitalizations (odds ratio ( OR) = 0.35 per person-month, 95% confidence interval ( CI) = 0.30-0.42). For veterans in the highest quartile of medical complexity, HBPC enrollment was associated with fewer ACSC hospitalizations ( OR = 0.43, 95% CI = 0.19-0.93), whereas for those in the lowest quartile, HBPC was associated with more ACSC hospitalizations ( OR = 33.2, 95% CI = 4.6-240.1). HBPC enrollment was associated with fewer hospitalizations for a range of ACSCs. Conclusion HBPC enrollment was associated with fewer hospitalizations for a range of ACSCs in veterans with diabetes mellitus but only in the most medically complex individuals. This demonstrates the importance of appropriate targeting and suggests that the effect of HBPC is attributable to its comprehensive approach rather than condition-specific interventions.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=124623509&site=ehost-live	2021-07-02 01:29:54	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	144	Journal of the American Geriatrics Society		251	edwards,samuel.t	edwards	samuel.t	Y	0.0	4.0	3.0	0.0
659	660	Biopsychosocial Aspects And The Complexity Of Care Of Hospitalized Elderly.	2014	937	10.1590/19820194201400071			937	27.0	5.0	427	Objective: To investigate the biopsychosocial aspects and aspects of the health system of hospitalized elderly and to classify their degree of care complexity. Methods: This was a quantitative study whose convenience sample consisted of 279 elderly. The Interdisciplinary Medicine Instrument (INTERMED) method was used, a tool that identified biopsychosocial aspects and conditions of the health system and classified the complexity of the patient. The data were submitted to descriptive analysis. Results: The prevailing profile was of elderly women, retired, white, with low educational levels, married and satisfied with their life conditions. The mean age was 72.3 years. The biological domain was the most compromised. As for the complexity of care, 34.8% of the patients required multiprofessional care. Conclusion: The elderly had high care complexity, with the biological and health system domains being the most compromised.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=99022122&site=ehost-live	2021-07-02 01:33:25	1	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	0.0	937	Acta Paulista de Enfermagem	1.0	937	ozello,gutierrez.beatriz.aparecida	ozello	gutierrez.beatriz.aparecida		1.0	4.0	4.0	1.0
423	424	Predictive Validity Of A Frailty Measure (Gfi) And A Case Complexity Measure (Im-E-Sa) On Healthcare Costs In An Elderly Population	2015	453	 10.1016/j.jpsychores.2015.09.015			453	79.0	5.0	404.0	Objectives: Measures of frailty (Groningen Frailty Indicator, GFI) and case complexity (INTERMED for the Elderly, IM-E-SA) may assist healthcare professionals to allocate healthcare resources. Both instruments have been evaluated with good psychometric properties. Limited evidence has been published about their predictive validity. Thus, our aim is to evaluate the predictive validity of both instruments on healthcare costs. Methods: Multivariate linear regression models were developed to estimate associations between the predictors frailty (GFI) and/or case complexity (IM-E-SA) and the healthcare costs (in â‚¬ log transformed) in the following year. All models were adjusted for demographics and the presence of morbidity. Results: In the multivariate regression analyses the continuous scores of the GFI and IM-E-SA remained significant predictors for total healthcare costs. Adjusted Î²s for GFI and IM-E-SA were respectively 0.14 (95% CI 0.10â€“0.18) and 0.06 (95% CI 0.04â€“0.07). The corresponding explained variance (R2) for both models was 0.40. Frailty remained a significant predictor of long-term care costs (adjusted Î² 0.13 [95% CI 0.09â€“0.16]), while case complexity was a significant predictor of curative care costs (adjusted Î² 0.03 [95% CI 0.02â€“0.05]). Conclusions: The GFI and IM-E-SA both accurately predict total healthcare costs in the following year. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/predictive-validity-frailty-measure-gfi-case/docview/1795491354/se-2?accountid=14902	2021-07-02 01:30:38	0	ProQuestallagingandcomplexityorcomplexandfrail_2021-06-23.xls		453	Journal of Psychosomatic Research		453	peters,,lilianl	peters,	lilianl	Y	1.0	3.0	3.0	1.0
483	484	A New Approach To The Identification Of Palliative Care Needs And Advanced Chronic Patients Among Nursing Home Residents	2021	526	10.3390/ijerph18063171	33808567	WOS:000639190800001	526	18.0	6.0		Background: Proper planning of Palliative Care in nursing homes requires advanced knowledge of the care needs that residents show. The aim of the study was to evaluate Palliative Needs and other conditions such as fragility, complexity, and prognosis and also to suggest new indicators for the establishment of the resident's advanced chronic condition. Methods: Cross-sectional study conducted in 149 nursing homes Complex Chronic residents evaluated by trained professionals. Palliative Care Needs, assessed by the NECPAL ICO-CCOMS (c) tool, and fragility, case and palliative complexity and prognosis were evaluate through a comprehensive assessment. Descriptive analyses and association measures were performed setting the statistical significance at 0.05. Results: More than 50% of the residents had positive Surprise Question and other Palliative Needs and were classified as Advanced Chronic Patients. Distress and/or Severe Adaptative Disorder was the most frequent need shown by the residents and significant differences in levels of frailty and other characteristics, were found between the Positive and the Negative Surprise Question Groups. Statistically significant correlations were also found between aspects of both groups. Conclusions: Nursing homes residents show Palliative Needs regardless of the response to the Surprise Question of the NECPAL tool. Other characteristics such as presence of an intermediate level of frailty are suggested as a new perspective to identify advanced chronic patients among nursing homes residents.		2021-07-02 01:31:12	0	complexityorcomplextiorabandallaging_onlynursing_2021.06.24.xls	1.0	526	International Journal Of Environmental Research And Public Health		526	esteban-burgos,ana a	esteban-burgos	ana a		0.0	3.0	2.0	0.0
363	364	Dynamics Of Stability: The Physiologic Basis Of Functional Health And Frailty.	2002	388	10.1093/gerona/57.3.B115			210	57.0	3.0	B115	"Under basal resting conditions most healthy physiologic systems demonstrate highly irregular, complex dynamics that represent interacting regulatory processes operating over multiple time scales. These processes prime the organism for an adaptive response, making it ready and able to react to sudden physiologic stresses. When the organism is perturbed or deviates from a given set of boundary conditions, most physiologic systems evoke closed-loop responses that operate over relatively short periods of time to restore the organism to equilibrium. This transiently alters the dynamics to a less complex, dominant response mode, which is denoted ""reactive tuning."" Aging and disease are associated with a loss of complexity in resting dynamics and maladaptive responses to perturbations. These alterations in the dynamics of physiologic systems lead to functional decline and frailty. Nonlinear mathematical techniques that quantify physiologic dynamics may predict the onset of frailty, and interventions aimed toward restoring healthy dynamics may prevent functional decline."	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=6330854&site=ehost-live	2021-07-02 01:29:57	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	210	Journals of Gerontology Series A: Biological Sciences & Medical Sciences		388	lipsitz,lewis.a	lipsitz	lewis.a	Y	0.0	3.0	1.0	0.0
680	681	Relational Practice As The Key To Ensuring Quality Care For Frail Older People: Discharge Planning As A Case Example.	2009	994	10.1108/14717794200900024			994	10.0	3.0	44	Discharging frail older people from acute hospital settings has been an issue of concern for over 40 years and recent studies suggest that enduring problems remain. This paper explores the experiences of discharge from three different units: an acute surgical ward, an acute medical ward and a specialist ward for older people. Based on extensive data from interviews with older people, their family carers and ward-based staff, a grounded theory of the discharge experience is presented. This suggests that the quality of discharge hinges largely on whether the focus of efforts is on 'pace' (the desire to discharge older people as rapidly as possible) or 'complexity' (where due account is taken of the complex interaction of medical and wider social issues). When pace is the focus, 'pushing' and 'fixing' are the main processes driving discharge. However, when attention is given to complexity, far more subtle processes of 'informing' and 'brokering' are in evidence. These latter processes are conceived of as forms of 'relational practice' and it is argued that such practices lie at the heart of high quality care for older people.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=105322109&site=ehost-live	2021-07-02 01:33:26	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	1.0	994	Quality in Ageing		994	williams,s	williams	s		0.0	3.0	2.0	0.0
