id	title	year	auth_id	doi	pmid	umi	journal_id	volume	issue	start_page	abstract	url	date_added	repeats	filename	nursauth	id	name	nurs	id	name	lastname	firstname
1	Use Of Latent Class Analysis And K-Means Clustering To Identify Complex Patient Profiles.	2020	1	10.1001/jamanetworkopen.2020.29068			1	3	12	e2029068	This cohort study uses data clustering methods and clinical stakeholder assessment to identify clinical profiles in a population of medically complex patients. Key Points: Question: What distinct clinical profiles can be identified within a population of the most medically complex patients? Findings: In this cohort study of 104 869 individuals, data clustering methods were combined with clinical stakeholder assessment to define clinical profiles within the top 3% most medically complex adult patients in a large integrated care system: high acuity, older with cardiovascular complications, frail elderly, pain management, psychiatric illness, cancer treatment, and less engaged. These profiles had significantly different 1-year health care utilization and mortality, and each profile suggested different adjunctive care strategies. Meaning: The findings suggest that a single care model may not meet the needs of adults with high comorbidity and care utilization. Importance: Medically complex patients are a heterogeneous group that contribute to a substantial proportion of health care costs. Coordinated efforts to improve care and reduce costs for this patient population have had limited success to date. Objective: To define distinct patient clinical profiles among the most medically complex patients through clinical interpretation of analytically derived patient clusters. Design, Setting, and Participants: This cohort study analyzed the most medically complex patients within Kaiser Permanente Northern California, a large integrated health care delivery system, based on comorbidity score, prior emergency department admissions, and predicted likelihood of hospitalization, from July 18, 2018, to July 15, 2019. From a starting point of over 5000 clinical variables, we used both clinical judgment and analytic methods to reduce to the 97 most informative covariates. Patients were then grouped using 2 methods (latent class analysis, generalized low-rank models, with k-means clustering). Results were interpreted by a panel of clinical stakeholders to define clinically meaningful patient profiles. Main Outcomes and Measures: Complex patient profiles, 1-year health care utilization, and mortality outcomes by profile. Results: The analysis included 104 869 individuals representing 3.3% of the adult population (mean [SD] age, 70.7 [14.5] years; 52.4% women; 39% non-White race/ethnicity). Latent class analysis resulted in a 7-class solution. Stakeholders defined the following complex patient profiles (prevalence): high acuity (9.4%), older patients with cardiovascular complications (15.9%), frail elderly (12.5%), pain management (12.3%), psychiatric illness (12.0%), cancer treatment (7.6%), and less engaged (27%). Patients in these groups had significantly different 1-year mortality rates (ranging from 3.0% for psychiatric illness profile to 23.4% for frail elderly profile; risk ratio, 7.9 [95% CI, 7.1-8.8], P <.001). Repeating the analysis using k-means clustering resulted in qualitatively similar groupings. Each clinical profile suggested a distinct collaborative care strategy to optimize management. Conclusions and Relevance: The findings suggest that highly medically complex patient populations may be categorized into distinct patient profiles that are amenable to varying strategies for resource allocation and coordinated care interventions.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=147544359&site=ehost-live	2021-07-02 01:27:05	0	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	1	JAMA Network Open		1	grant,richard.w	grant	richard.w
2	Nurse Case Manager: Measurement Of Care Coordination Activities And Quality And Resource Use Outcomes When Caring For The Complex Patient With Hematologic Cancer.	2020	2	10.1188/20.CJON.65-74			2	24	1	65	BACKGROUND: The lack of coordination of care for complex patients in the hematology setting has prompted nurse case managers (NCMs) to coordinate that care. OBJECTIVES: This article aimed to identify the frequency of NCM care coordination activities and quality and resource use outcomes in the complex care of patients in the hematology setting. METHODS: NCM aggregate data from complex outpatients with hematologic cancer were retrieved from electronic health records at a comprehensive cancer center in the midwestern United States. Total volume of activities and outcomes were calculated as frequency and percentage. FINDINGS: Care coordination activities included communicating; monitoring, following up, and responding to change; and creating a proactive plan of care. Quality outcomes included improving continuity of care and change in health behavior, and resource use outcomes most documented were patient healthcare cost savings.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=141312898&site=ehost-live	2021-07-02 01:27:05	1	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	2	Clinical Journal of Oncology Nursing	1	2	garnett,doris	garnett	doris
3	Management Of Depression And Referral Of Older People To Psychological Therapies: A Systematic Review Of Qualitative Studies.	2019	3	10.3399/bjgp19X701297	NLM30745355		3	69	680	e171	Background: Depressive symptoms are common in later life and increase both the risk of functional and cognitive decline and the use of healthcare services. Despite older people expressing preferences for talking therapies, they are less likely to be referred than younger adults, particularly when aged ≥80 years.Aim: To explore how healthcare professionals (HCPs) manage older people in relation to depression and referrals to psychological therapies.Design and Setting: Systematic review and thematic synthesis of qualitative studies.Method: MEDLINE, Embase, PsycINFO, CINAHL, and the Social Sciences Citation Index (inception-March 2018) were searched for studies exploring HCPs' views regarding management of late-life depression across all settings. Studies of older people's views or depression management across all ages were excluded.Results: In total, 27 studies, were included; these predominantly focused on the views of GPs and primary and community care nurses. Many HCPs felt that late-life depression was mainly attributable to social isolation and functional decline, but treatments appropriate for this were limited. Clinicians perceived depression to have associated stigma for older adults, which required time to negotiate. Limited time in consultations and the complexity of needs in later life meant physical health was often prioritised over mental health, particularly in people with frailty. Good management of late-life depression appeared to depend more on the skills and interest of individual GPs and nurses than on any structured approach.Conclusion: Mental ill health needs to be a more-prominent concern in the care of older adults, with greater provision of psychological services tailored to later life. This may facilitate future identification and management of depression.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=134963977&site=ehost-live	2021-07-02 01:27:05	0	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	3	British Journal of General Practice		3	frost,rachael	frost	rachael
4	Skin Tears In The Aging Population: Remember The 5 Ws.	2018	4				4	19	1	15	Skin tears represent a relevant clinical consequence of age-associated skin vulnerability, and are extremely common among frail and older individuals. They are acute wounds with the potential to be closed by primary intention, however they are often mismanaged and misdiagnosed and transition to become chronic and complex wounds. Reported skin tear prevalence suggests they are a growing healthcare problem which have a profound impact on the health and wellbeing of affected individuals and a great financial burden to healthcare systems. With the aging global population, it can be assumed that the prevalence of skin tears will continue to increase proportionally with the aging population. In order to minimize the impact of skin tears clinicians must to be aware of what skin tears are, who is at risk, why and when they occur, and how to manage skin tears when they do occur. The purpose of this article is to assist clinicians with the prediction, prevention, assessment and management of skin tears among the aging population across healthcare sectors.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=130482565&site=ehost-live	2021-07-02 01:27:05	1	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	4	EWMA Journal		4	vanzi,valentina	vanzi	valentina
5	Identifying A Relationship Between Physical Frailty And Heart Failure Symptoms.	2018	5	10.1097/JCN.0000000000000408			5	33	1	E1	Background: Heart failure (HF) is a complex clinical syndrome associated with significant symptom burden; however, our understanding of the relationship between symptoms and physical frailty in HF is limited. Objective: The aim of this study was to quantify associations between symptoms and physical frailty in adults with HF. Methods: A sample of adults with symptomatic HF were enrolled in a cross-sectional study. Physical symptoms were measured with the HF Somatic Perception Scale-Dyspnea subscale, the Epworth Sleepiness Scale, and the Brief Pain Inventory short form. Affective symptoms were measured with the Patient Health Questionnaire-9 and the Brief Symptom Inventory-Anxiety scale. Physical frailty was assessed according to the Frailty Phenotype Criteria: shrinking, weakness, slowness, physical exhaustion, and low physical activity. Comparative statistics and generalized linear modeling were used to quantify associations between symptoms and physical frailty, controlling for Seattle HF Model projected 1-year survival. Results: The mean age of the sample (n = 49) was 57.4 T 9.7 years, 67% were male, 92% had New York Heart Association class III/IV HF, and 67% had nonischemic HF. Physically frail participants had more than twice the level of dyspnea (P < .001), 75% worse wake disturbances (P < .001), and 76% worse depressive symptoms (P = .003) compared with those who were not physically frail. There were no differences in pain or anxiety. Conclusions: Physically frail adults with HF have considerably worse dyspnea, wake disturbances, and depression. Targeting physical frailty may help identify and improve physical and affective symptoms in HF.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=126986437&site=ehost-live	2021-07-02 01:27:05	4	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	5	Journal of Cardiovascular Nursing	1	5	denfeld,quin.e	denfeld	quin.e
6	"""I Didn'T Know He Was Dying""."	2016	6	10.1097/NJH.0000000000000215			6	18	1	74	Research is limited on end-of-life care decision-making for older adults with chronic conditions whose end-of-life trajectory is difficult to predict because of their complex and frail condition. Semistructured interviews were conducted with family members of 22 deceased older adults to explore their experiences with end-of-life decision-making with/for their loved ones. Participants did not identify a specific time they made an end-of-life care decision as they did not know the older adult was at the end of life, health care providers did not ask them to make a decision, or they had to make forced decisions, and subsequently they experienced regret about the end-of-life care their family member received. End-of-life care decisions were dependent on the awareness of approaching death by participants, their loved ones, and health care providers. Health care providers being aware of the possibility of approaching death and assisting family members to make decisions that would honor the older adult's preference by explaining possible care options and what each care options would mean to them are key to providing quality end-of-life care for these individuals.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=112468227&site=ehost-live	2021-07-02 01:27:05	1	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	6	Journal of Hospice & Palliative Nursing	1	6	shigeko,(seiko).izumi	shigeko	(seiko).izumi
7	Fragility In The Elderly Participants Of Coexistence And Health Promotion Groups In The Aging.	2016	7	10.17784/mtprehabjournal.2016.14.353			7	14		1	INTRODUCTION: The frailty syndrome is a complex condition that permeates the life of the elderly, with the decrease of the homeostatic reserve of the organism and loss of resistance to the stressors, caused as results of many factors, but mainly by sarcopenia. Such syndrome makes the elderly vulnerable to illness and may lead to terminal stages of life if there is no adequate treatment. OBJECTIVE: To evaluate the influence of the factors related to the frailty phenotype in the occurrence of this in participants of groups of coexistence and health promotion of the city of Santa Cruz/RN. METHOD: This is a descriptive, associative and transversal of quantitative approach study with 60 elderly. The socioeconomic condition and the fragility phenotype was evaluated. RESULTS: the mean age of the sample was 66.1 years (SD=5.08). Most of them (53.3%) are in the age group of 60-69 years, does not have a partner (63.4%) and are illiterate (58.3%). In the mentioned morbidity, 42 (70%) reported some morbidity and hypertension was more prevalent in the sample (53.3%), followed by diabetes (20%) and osteoporosis (18.3%). Four elderly were fragile, forty-nine were pre-fragile and seven were non-fragile. There was a significant correlation in unintentional loss of weight (0.017), exhaustion (<0.001) and slowness in gait (<0.001) in the occurrence of pre-frailty. CONCLUSION: the prevalence of pre-frailty indicators in the investigated groups indicates warning signs so that actions more strongly linked to the prevention of this aggravation become a priority in the planning of the undertaken interventions in groups. Participation in social groups has a protective effect in the prevention of frailty in the elderly.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=131616016&site=ehost-live	2021-07-02 01:27:05	0	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	7	Manual Therapy, Posturology & Rehabilitation Journal		7	fagundes,de.lima.filho.bartolomeu	fagundes	de.lima.filho.bartolomeu
8	Frailty In Older Adults: An Evolutionary Concept Analysis.	2015	8	10.1891/1541-6577.29.1.66			8	29	1	66	The term frailty is often used to describe a subset of the older population with complex health issues. It is associated with dependence, disability, increased health care use, and mortality. An emergent problem is the lack of consensus as to the etiology and definition of frailty. The purpose of this concept analysis is to clarify the concept of frailty in the context of older adults and propose a definition of frailty that may be relevant to identification of frail older adults. The results from this analysis conclude frailty in older adults is a tenuous state of health that is the result of the complex interplay of physiological, psychosocial, and environmental stressors that increases an older adult's susceptibility to adverse health outcomes.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=111386013&site=ehost-live	2021-07-02 01:27:05	3	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	8	Research & Theory for Nursing Practice	1	8	tocchi,christine	tocchi	christine
9	Development Of A Frailty Measure For Older Adults: The Frailty Index For Elders.	2014	8	10.1891/1061-3749.22.2.223	NLM25255675		9	22	2	223	Background and Purpose: Frailty is a significant challenge for health care. Therefore, it is important to identify frail individuals. Theoretical Framework: The Vulnerability/Risk/ Human Response/Care Model. The purpose of this study was to develop and validate a measure to identify frail older adults. Methods: Instrument development encompassed the following: delineation of content domains, item generation, content validity, quantitative content validity analysis, and psychometric analysis. Results: Findings indicated the following: (a) Frailty is a complex concept, (b) the Frailty Index for Elders (FIFE) is composed of 10 items, (c) FIFE was able to predict depression, and (d) FIFE was able to differentiate differences in demographic profiles by social support environment. Conclusions: FIFE is a valid instrument. FIFE can be used to study the relationships among frailty determinants, provide standardized measurement, and develop and measure interventional studies.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=109793115&site=ehost-live	2021-07-02 01:27:05	2	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	9	Journal of Nursing Measurement	1	8	tocchi,christine	tocchi	christine
10	Developing Advanced Nursing Skills For Frail Older People.	2014	10	10.7748/nop2014.04.26.4.20.e561	NLM24787943		10	26	4	20	Improving hospital care for frail older people requires expertise, leadership and resources as these patients have multiple complex needs. One innovative solution to providing the skilled care necessary is to train experienced nurses to become advanced nurse practitioners (ANPs). Such roles encompass activity previously undertaken by medical staff, together with leadership, teaching, research and service development. Skills specific to caring for older people, such as comprehensive geriatric assessment, are also required. This article discusses the need for ANPs in this clinical area, a pilot that is under way in one acute trust to develop these roles, and the potential benefits and challenges that may accompany this development.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=103936774&site=ehost-live	2021-07-02 01:27:05	3	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1	10	Nursing Older People	1	10	goldberg,sarah	goldberg	sarah
