,id,title,name,abstract,year,title_use,abstract_mentions_count,doi,url
273,274,Are Case Volume And Facility Complexity Level Associated With Postoperative Complications After Hip Fracture Surgery In The Veterans Affairs Healthcare System?,"wong,jimmy.k","Background: Hospital-related factors associated with mortality and morbidity after hip fracture surgery are not completely understood. The Veterans Health Administration (VHA) is the largest single-payer, networked healthcare system in the country serving a relatively homogenous patient population with facilities that vary in size and resource availability. These characteristics provide some degree of financial and patient-level controls to explore the association, if any, between surgical volume and facility resource availability and hospital performance regarding postoperative complications after hip fracture surgery.Questions/purposes: (1) Do VHA facilities with the highest complexity level designation (Level 1a) have a disproportionate number of better-than-expected performance outliers for major postoperative complications compared with lower-complexity level facilities? (2) Do VHA facilities with higher hip fracture surgical volume have a disproportionate number of better-than-expected performance outliers for major postoperative complications compared with lower-volume facilities?Methods: We explored the Veterans Affairs Surgical Quality Improvement Project (VASQIP) database from October 2001 to September 2012 for records of hip fracture surgery performed. Data reliability of the VASQIP database has been previously validated. We excluded nine of the 98 VHA facilities for contributing fewer than 30 records. The remaining 89 VHA facilities provided 23,029 records. The VHA designates a complexity level to each facility based on multiple criteria. We labeled facilities with a complexity Level 1a (38 facilities)-the highest achievable VHA designated complexity level-as high complexity; we labeled all other complexity level designations as low complexity (51 facilities). Facility volume was divided into tertiles: high (> 277 hip fracture procedures during the sampling frame), medium (204 to 277 procedures), and low (< 204 procedures). The patient population treated by low-complexity facilities was older, had a higher prevalence of severe chronic obstructive pulmonary disease (26% versus 22%, p < 0.001), and had a higher percentage of patients having surgery within 2 days of hospital admission (83% versus 76%, p < 0.001). High-complexity facilities treated more patients with recent congestive heart failure exacerbation (4% versus 3%, p < 0.001). We defined major postoperative complications as having at least one of the following: death within 30 days of surgery, cardiac arrest requiring cardiopulmonary resuscitation, new q-wave myocardial infarction, deep vein thrombosis and/or pulmonary embolism, ventilator dependence for at least 48 hours after surgery, reintubation for respiratory or cardiac failure, acute renal failure requiring renal replacement therapy, progressive renal insufficiency with a rise in serum creatinine of at least 2 mg/dL from preoperative value, pneumonia, or surgical site infection. We used the observed-to-expected ratio (O/E ratio)-a risk-adjusted metric to classify facility performance-for major postoperative complications to assess the performance of VHA facilities. Outlier facilities with 95% confidence intervals (95% CI) for O/E ratio completely less than 1.0 were labeled ""exceed expectation;"" those that were completely greater than 1.0 were labeled ""below expectation."" We compared differences in the distribution of outlier facilities between high and low-complexity facilities, and between high-, medium-, and low-volume facilities using Fisher's exact test.Results: We observed no association between facility complexity level and the distribution of outlier facilities (high-complexity: 5% exceeded expectation, 5% below expectation; low-complexity: 8% exceeded expectation, 2% below expectation; p = 0.742). Compared with high-complexity facilities, the adjusted odds ratio for major postoperative complications for low-complexity facilities was 0.85 (95% CI, 0.67-1.09; p = 0.108).We observed no association between facility volume and the distribution of outlier facilities: 3% exceeded expectation and 3% below expectation for high-volume; 10% exceeded expectation and 3% below expectation for medium-volume; and 7% exceeded expectation and 3% below expectation for low-volume; p = 0.890). The adjusted odds ratios for major postoperative complications were 0.87 (95% CI, 0.73-1.05) for low- versus high-volume facilities and 0.89 (95% CI, 0.79-1.02] for medium- versus high-volume facilities (p = 0.155).Conclusions: These results do not support restricting facilities from treating hip fracture patients based on historical surgical volume or facility resource availability. Identification of consistent performance outliers may help health care organizations with multiple facilities determine allocation of services and identify characteristics and processes that determine outlier status in the interest of continued quality improvement.Level Of Evidence: Level III, therapeutic study.",2019,1,16,10.1097/CORR.0000000000000460,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=135558306&site=ehost-live
303,305,Factors Associated With Medication Regimen Complexity In Older People: A Cross-Sectional Population-Based Study.,"wimmer,barbara","Purpose: There is a lack of population-based research about factors associated with medication regimen complexity. This study investigated factors associated with medication regimen complexity in older people, and whether factors associated with regimen complexity were similar to factors associated with number of medications. Methods: This cross-sectional population-based study included 3348 people aged ≥60 years. Medication regimen complexity was computed using the validated 65-item Medication Regimen Complexity Index (MRCI). Multinomial logistic regression was used to compute unadjusted and adjusted odds ratios (ORs) with 95 % confidence intervals (CIs) for factors associated with regimen complexity. Multivariable quantile regression was used to compare factors associated with regimen complexity and number of medications. Results: In adjusted analyses, participants in the highest MRCI quintile (MRCI > 20) were older (OR = 1.04, 95 % CI 1.02;1.05), less likely to live at home (OR = 0.35, 95 % CI 0.15;0.86), had greater comorbidities (OR = 2.17, 95 % CI 1.89;2.49), had higher cognitive status (OR = 1.06, 95 % CI 1.01;1.11), a higher prevalence of self-reported pain (OR = 2.85, 95 % CI 2.16;3.76), had impaired dexterity (OR = 2.39, 95 % CI 1.77;3.24) and were more likely to receive help to sort their medications (OR = 4.43 95 % CI 2.39;8.56) than those with low regimen complexity (MRCI >0-5.5). Similar factors were associated with both regimen complexity and number of medications. Conclusion: Older people with probable difficulties managing complex regimens, including those with impaired dexterity and living in institutional settings, had the most complex medication regimens even after adjusting for receipt of help to sort medications. The strong correlation between regimen complexity and number of medications suggests that clinicians could use a person's number of medications to target interventions to reduce complexity.",2015,1,13,10.1007/s00228-015-1883-2,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=108841033&site=ehost-live
302,304,Medication Regimen Complexity In Adults And The Elderly In A Primary Healthcare Setting: Determination Of High And Low Complexities.,"ferreira,juliana.m","Background: The complexity of a medication regimen is related to the multiple characteristics of the prescribed regimen and can negatively influence the health outcomes of patients. Objective: To propose cut-off points in the complexity of pharmacotherapy to distinguish between patients with low and high complexities seen in a primary health care (PHC) setting to enable prioritization of patient management. Methods: This is a cross-sectional study, which included 517 adult and elderly patients, analyzing different cut-off points to define the strata of low and high pharmacotherapy complexities based on percentiles of the population evaluated. Data collection began with the solicitation of prescriptions, followed by a questionnaire that was administered by an interviewer. The complexity of a medication regimen was estimated from the Medication Regimen Complexity Index (MRCI). High complexity pharmacotherapy scores were analyzed from patient profiles, the use of health services, and pharmacotherapy. The criteria for subject inclusion in the sample population were as follows: inhabitant of the area covered by the municipality, 18 years or older, and being prescribed at least one drug during the collection period. Exclusion criteria at the time of collection were the use of any medication whose prescription was not available. All medications were accessed through the Primary Healthcare Service (PHS). Results: The median total pharmacotherapy complexity score was 8.5. High MRCI scores were correlated with age, medications taken with in the Brazilian PHS, having at least one potential drug-related problem, receiving up to eight years of schooling, number of medications and polypharmacy (five or more medicines), number of medical conditions, number of medical appointments, and number of cardiovascular diseases and endocrine metabolic diseases. We suggest different complexity tracks according to age (e.g., adult or elderly) that consider the pharmacotherapy and population coverage characteristics as high complexity limits. For the elderly patients, the tracks were as follows: MRCI≥25.4, MRCI≥20.9, MRCI≥17.5, MRCI≥15.7, MRCI≥14.0, and MRCI≥13.0. For adult patients, the limits of high complexity were MRCI≥25.1; MRCI ≥ 23.8; MRCI≥21.0; MRCI≥17.0; MRCI≥16.5; and MRCI≥15.5. Conclusion: The medication regimen complexity is associated with the patient's illness profile and problems with the use of drugs; therefore, the proposed scores can be useful in prioritizing patients for clinical care by pharmacists and other health professionals.",2015,2,12,10.18549/PharmPract.2015.04.659,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=112189598&site=ehost-live
284,286,Predictive Model Of Complexity In Early Palliative Care: A Cohort Of Advanced Cancer Patients (Palcom Study).,"tuca,albert","Proposal: Model of early palliative care (PC) integrated in oncology is based on shared care from the diagnosis to the end of life and is mainly focused on patients with greater complexity. However, there is no definition or tools to evaluate PC complexity. The objectives of the study were to identify the factors influencing level determination of complexity, propose predictive models, and build a complexity scale of PC.Patients and Method: We performed a prospective, observational, multicenter study in a cohort of advanced cancer patients with an estimated prognosis ≤ 6 months. An ad hoc structured evaluation including socio-demographic and clinical data, symptom burden, functional and cognitive status, psychosocial problems, and existential-ethic dilemmas was recorded systematically. According to this multidimensional evaluation, investigator classified patients as high, medium, or low palliative complexity, associated to need of basic or specialized PC. Logistic regression was used to identify the variables influencing determination of level of PC complexity and explore predictive models.Results: We included 324 patients; 41% were classified as having high PC complexity and 42.9% as medium, both levels being associated with specialized PC. Variables influencing determination of PC complexity were as follows: high symptom burden (OR 3.19 95%CI: 1.72-6.17), difficult pain (OR 2.81 95%CI:1.64-4.9), functional status (OR 0.99 95%CI:0.98-0.9), and social-ethical existential risk factors (OR 3.11 95%CI:1.73-5.77). Logistic analysis of variables allowed construct a complexity model and structured scales (PALCOM 1 and 2) with high predictive value (AUC ROC 76%).Conclusion: This study provides a new model and tools to assess complexity in palliative care, which may be very useful to manage referral to specialized PC services, and agree intensity of their intervention in a model of early-shared care integrated in oncology.",2018,1,10,10.1007/s00520-017-3840-3,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=126418030&site=ehost-live
287,289,Clinical Outcomes Associated With Medication Regimen Complexity In Older People: A Systematic Review.,"wimmer,barbara.c","Objectives To systematically review clinical outcomes associated with medication regimen complexity in older people. Design Systematic review of EMBASE, MEDLINE, International Pharmaceutical Abstracts, Cumulative Index to Nursing and Allied Health Literature, and the Cochrane library. Setting Hospitals, home, and long-term care. Participants English-language peer-reviewed original research published before June 2016 was eligible if regimen complexity was quantified using a metric that considered number of medications and at least one other parameter, regimen complexity was calculated for participants' overall regimen, at least 80% of participants were aged 60 and older, and the study investigated a clinical outcome associated with regimen complexity. Measurements Quality assessment was conducted using an adapted version of the Joanna Briggs Institute critical appraisal tool. Results Sixteen observational studies met the inclusion criteria. Regimen complexity was associated with medication nonadherence (2/6 studies) and higher rates of hospitalization (2/4 studies). One study found that participants with less-complex medication administration were more likely to stop medications when feeling worse. One study each identified an association between regimen complexity and higher ability to administer medications as directed, medication self-administration errors, caregiver medication administration hassles, hospital discharge to non-home settings, postdischarge potential adverse drug events, all-cause mortality, and lower patient knowledge of their medication. Regimen complexity had no association with postdischarge medication modification, change in medication- and health-related problems, emergency department visits, or quality of life as rated by nursing staff. Conclusion Research into whether medication regimen complexity is associated with nonadherence and hospitalization has produced inconsistent results. Moderate-quality evidence from four studies (two each for nonadherence and hospitalization) suggests that medication regimen complexity is associated with nonadherence and higher rates of hospitalization.",2017,1,10,10.1111/jgs.14682,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=122576454&site=ehost-live
44,45,The Complexity Of Implementing Culture Change Practices In Nursing Homes.,"sterns,s","Purpose: The culture change (CC) movement aims to transform the traditional nursing home (NH) that is institutional in design with hierarchical management structure into a homelike environment that empowers residents and frontline staff. This study examines differences in adoption of CC practices according to a NH''s self-reported extent of CC implementation and its duration of CC adoption. Furthermore, it examines differences in adoption by whether a CC practice is considered less versus more complex, using complexity theory as the theoretical framework for this classification. Design and Methods: Using data from a 2007 Commonwealth-funded study, we analyzed a national sample of 291 US nursing homes that identified as being “for the most part” or “completely” CC facilities for “1 to 3 years” or “3+ years.” Also, using a complexity theory framework, we ranked 16 practices commonly associated with CC as low, moderately, or highly complex based on level of agreement needed to actuate the process (number of parties involved) and the certainty of intended outcomes. We then examined the prevalence of CC-associated practices in relation to their complexity and the extent and duration of a NH''s CC adoption. Results: We found practices ranked as less complex were implemented more frequently in NHs with both shorter and longer durations of CC adoption. However, more complex CC practices were more prevalent among NHs reporting “complete” adoption for 3+ years versus 1 to 3 years. This was not observed in NHs reporting having CC “for the most part.” Conclusions/Implications: Less complex practices may be more economical and easier to implement. These early successes may result in sufficient momentum so that more complex change can follow. A nursing home that more completely embraces the culture change movement may be more likely to attempt these complex changes.",2010,1,10,10.1016/j.jamda.2009.11.002,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=104921468&site=ehost-live
232,233,Frailty And The Degradation Of Complex Balance Dynamics During A Dual-Task Protocol.,"kang,hg","Background: Balance during quiet stance involves the complex interactions of multiple postural control systems, which may degrade with frailty. The complexity of center of pressure (COP) dynamics, as quantified using multiscale entropy (MSE), during quiet standing is lower in older adults, especially those with falls. We hypothesized that COP dynamics from frail elderly individuals demonstrate less complexity than those from nonfrail elderly controls; complexity decreases when performing a dual task; and postural complexity during quiet standing is independent of other conventional correlates of balance control, such as age and vision.Methods: We analyzed data from a population-based study of community-dwelling older adults. Frailty phenotype (nonfrail, prefrail, or frail) was determined for 550 participants (age 77.9 +/- 5.5 years). COP excursions were quantified for 10 trials of 30 seconds each. Participants concurrently performed a serial subtraction task in half of the trials. Complexity of balance dynamics was quantified using MSE. Root-mean-square sway amplitude was also computed.Results: Of the 550, 38% were prefrail and 9% were frail. Complexity of the COP dynamics in the anteroposterior direction was lower in prefrail (8.78 +/- 1.91 [mean +/- SD]) and frail (8.38 +/- 2.13) versus nonfrail (9.20 +/- 1.74) groups (p < .001). Complexity reduced by a comparable amount in all three groups while performing the subtraction task (p < .001). Quiet standing complexity was independently associated with frailty after adjusting for covariates related to balance while sway amplitude was not.Conclusion: Cognitive distractions during standing may further compromise balance control in frail individuals, leading to an increased risk of falls.",2009,1,9,10.1093/gerona/glp113,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=105238517&site=ehost-live
288,290,"Working With Complexity: Experiences Of Caring For Mothers Seeking Residential Parenting Services In New South Wales, Australia.","fowler,cathrine","Aim and objectives To investigate staff perception of the changing complexity of mothers and infants admitted to two residential parenting services in New South Wales in the decade from 2005-2015. Background For many mothers with a young child, parenting is difficult and stressful. If parenting occurs within the context of anxiety, mental illness or abuse it often becomes a high-risk situation for the primary caregiver. Residential parenting services provide early nursing intervention before parenting problems escalate and require physical or mental health focused care. Design A qualitative descriptive design using semi-structured interview questions was used as phase three of a larger study. Data were gathered from 35 child and family health nurses and ten physicians during eight focus groups. Results Three main themes emerged: (1) dealing with complexity; (2) changing practice; and (3) appropriate knowledge and skills to handle greater complexity. Conclusions There was a mix of participant opinions about the increasing complexity of the mothers presenting at residential parenting services during the past decade. Some of the nurses and physicians confirmed an increase in complexity of the mothers while several participants proposed that it was linked to their increased psychosocial assessment knowledge and skill. All participants recognised their work had grown in complexity regardless of their perception about the increased complexity of the mothers. Relevance to clinical practice Australian residential parenting services have a significant role in supporting mothers and their families who are experiencing parenting difficulties. It frequently provides early intervention that helps minimise later emotional and physical problems. Nurses are well placed to work with and support mothers with complex histories. Acknowledgement is required that this work is stressful and nurses need to be adequately supported and educated to manage the complex presentations of many families.",2017,1,9,10.1111/jocn.13478,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=121000285&site=ehost-live
263,264,The Development Of An Hiv-Specific Complexity Rating Scale.,"bulsara,sm","As treatment for HIV improves, an ageing population is experiencing comorbidity which often leads to complex clinical presentations requiring an interdisciplinary care approach. This study sought to quantify clinician assessment of the level of clinical complexity, through the development of a rating scale for people living with HIV (PLHIV), to improve client care through an interdisciplinary care model. An existing alcohol and other drug complexity rating scale was selected and modified for use with PLHIV. HIV-specific items were included through consultation with an interdisciplinary team. A risk-prediction model was developed and validated using clinician ratings of clients attending The Albion Centre, a tertiary HIV clinic in Sydney, Australia, resulting in the development of the Clinical Complexity Rating Scale for HIV (CCRS-HIV). Multivariable logistic regression models identified eight characteristics based on clinician assessment of complexity in PLHIV: financial instability, social isolation, problematic crystal methamphetamine use, mental illness and/or other problematic substance use, cognitive/neurological impairment, polypharmacy, current hepatitis C infection and/or cancer, and other physical health comorbidity. A weighted risk-prediction model was developed and validated. The final model accurately predicted 85% of complex clients, with a sensitivity of 80% and specificity of 91%. This study developed an HIV-specific clinician-rated complexity scale. Further investigations are required to validate the CCRS-HIV with broader HIV populations. This simple complexity screening tool is a promising adjunct to clinical assessment to identify clients with complex physical and psychosocial needs who may benefit from interdisciplinary care interventions and allocation of resources.",2019,1,9,10.1177/0956462419868359,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=139924079&site=ehost-live
192,193,Protocol Of A Case-Control Longitudinal Study (Fraxity) Assessing Frailty And Complexity Among Swiss Home Service Recipients Using Interrai-Hc Assessments.,"ludwig,catherine","Background: The early screening of frail individuals and of patients with complex care needs are challenges that countries witnessing population aging face. Homecare nurses are actors of choice in meeting these challenges, yet they need means of identifying frail and complex patients in their routine practice. The fraXity study's aim is to fill this gap by (1) proposing frailty and complexity computation algorithms derived from the interRAI-HC; (2) assessing the predictive validity of the proposed indices with respect to adverse health outcomes; and (3) identifying subgroups of the aged population for whom the early screening of frailty and complexity appears to be most relevant.Methods: The study will rely on a prospective observational case-control longitudinal study. Three samples of individuals aged 65 or older living in the community will be considered: recipients of formal home care (case 1), of formal home assistance (case 2) and individuals free of formal home services (controls). All participants will receive interRAI-HC assessments at three measurement occasions, separated by six-month intervals. Baseline assessments will serve to derive frailty and complexity scores. Follow-ups will serve to assess the predictive validity of the proposed indices and to estimate the intra-individual change in frailty and complexity. Group comparisons will serve to identify subgroups of the population for whom the screening of frailty and complexity appears to be the most relevant.Discussion: The expected results of the fraXity study are a) reliable computation algorithms for frailty and complexity scores derived from the interRAI-HC and b) clinical assessment protocols for use by homecare nurses. These outcomes should contribute to outfitting key actors of the health system with means of enhancing their part in a collective endeavor targeting the best care and quality of life for aged citizens.Trial Registration: ClinicalTrials.gov, NCT03883425 , registered on March 20, 2019.",2019,1,8,10.1186/s12877-019-1230-z,http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=137907458&site=ehost-live
