id	title	year	auth_id	doi	pmid	umi	journal_id	volume	issue	start_page	abstract	url	date_added	repeats	filename	nursauth	id	name	nurs	id	name	lastname	firstname
1	What Matters To People Aged 80 And Over Regarding Ambulatory Care? A Systematic Review And Meta-Synthesis Of Qualitative Studies	2022	1	10.1007/s10433-021-00633-7			1	19	3	325.0	The growing percentage of the population aged 80 and over is challenging for healthcare systems, as frailty and other complex health issues are common in this age group. In order to provide patient-centered ambulatory healthcare, their preferences and expectations need to be explored. Therefore, the aim of this study was to systematically search for and synthesize qualitative evidence on how people aged 80 and over believe ambulatory healthcare (medical and nursing care) should be delivered to them. Medline, PsycINFO, CINAHL, Web of Science Core Collection and Google Scholar were searched for full research reports of qualitative studies focusing on the preferences, wishes, needs, expectations and experiences of people aged 80 and over regarding ambulatory medical and nursing care. The results were screened by two independent reviewers using a two-step approach. The included studies were meta-synthesized using Thomas and Harden’s ‘thematic synthesis’ approach in order to gain a new, second-order interpretation of the findings of the primary studies. In the intermediate synthesis step, 14 aspects of healthcare structures and care relationships were identified as relevant. Based on these, three underlying wishes were found: feeling safe, feeling like a meaningful human being, and maintaining control and independence. The results of this review are in line with other research, such as reviews focusing on the preferences of the younger age group (65–80). However, the importance of aspects of care relationships as an integral part of favorable ambulatory healthcare and the wish to be strengthened as a meaningful human being are emphasized more strongly. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/what-matters-people-aged-80-over-regarding/docview/2564549500/se-2?accountid=14902	2022-10-04 23:30:39	2	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	1	European Journal of Ageing		1	herrler,,angélique	herrler,	angélique
2	Clinical Determinants And Neural Correlates Of Presbyphagia In Community-Dwelling Older Adults	2022	2	10.3389/fnagi.2022.912691			2	14			Background: “Presbyphagia” refers to characteristic age-related changes in the complex neuromuscular swallowing mechanism. It has been hypothesized that cumulative impairments in multiple domains affect functional reserve of swallowing with age, but the multifactorial etiology and postulated compensatory strategies of the brain are incompletely understood. This study investigates presbyphagia and its neural correlates, focusing on the clinical determinants associated with adaptive neuroplasticity. Materials and methods: 64 subjects over 70 years of age free of typical diseases explaining dysphagia received comprehensive workup including flexible endoscopic evaluation of swallowing (FEES), magnetoencephalography (MEG) during swallowing and pharyngeal stimulation, volumetry of swallowing muscles, laboratory analyzes, and assessment of hand-grip-strength, nutritional status, frailty, olfaction, cognition and mental health. Neural MEG activation was compared between participants with and without presbyphagia in FEES, and associated clinical influencing factors were analyzed. Presbyphagia was defined as the presence of oropharyngeal swallowing alterations e.g., penetration, aspiration, pharyngeal residue pooling or premature bolus spillage into the piriform sinus and/or laryngeal vestibule. Results: 32 of 64 participants showed swallowing alterations, mainly characterized by pharyngeal residue, whereas the airway was rarely compromised. In the MEG analysis, participants with presbyphagia activated an increased cortical sensorimotor network during swallowing. As major clinical determinant, participants with swallowing alterations exhibited reduced pharyngeal sensation. Presbyphagia was an independent predictor of a reduced nutritional status in a linear regression model. Conclusions: Swallowing alterations frequently occur in otherwise healthy older adults and are associated with decreased nutritional status. Increased sensorimotor cortical activation may constitute a compensation attempt to uphold swallowing function due to sensory decline. Further studies are needed to clarify whether the swallowing alterations observed can be considered physiological per se or whether the concept of presbyphagia may need to be extended to a theory with a continuous transition between presbyphagia and dysphagia. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/clinical-determinants-neural-correlates/docview/2707641422/se-2?accountid=14902	2022-10-04 23:30:39	2	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	2	Frontiers in Aging Neuroscience		2	labeit,,bendix	labeit,	bendix
3	The Changing Role Of Advanced Clinical Practitioners Working With Older People During The Covid- 19 Pandemic: A Qualitative Research Study	2022	3	10.1016/j.ijnurstu.2022.104235			3	130			Background: COVID-19 was identified as a pandemic by the World Health Organisation (WHO) in December 2020. Advanced Clinical Practitioners (ACPs) in England working with older people with frailty, experienced their clinical role changing in response to the emergency health needs of this complex population group. In contrast to other countries, in England Advanced Clinical Practitioners are drawn from both nursing and allied health professions. Whilst much of the literature emphasises the importance of ensuring the sustainability of the Advanced Clinical Practitioners’ role, the pandemic threw further light on its potential and challenges. However, an initial review of the literature highlighted a lack of research of Advanced Clinical Practitioners’ capabilities working with uncertainty in disaster response situations. Aim: To capture the lived experience of how English Advanced Clinical Practitioners working with older people adapted their roles in response to the COVID-19 pandemic (October 2020–January 2021). Design, setting and participants: A qualitative research design was used. Following ethical approval, 23 Advanced Clinical Practitioner volunteer participants from across England with varied health professional backgrounds were recruited from Advanced Clinical Practitioners’ professional and social media networks on Twitter using a snowballing technique. Methods: Depending on preference or availability, 23 participants (nurses (18), physiotherapists (2), paramedics (2) and a pharmacist (1)) were interviewed singularly ( n = 9) or as part of 3 focus groups ( n = 14) using Zoom video communication. Audio recordings were transcribed and using qualitative data analysis software, NVivo 12 pro, coded for an essentialist thematic analysis of Advanced Clinical Practitioners’ responses using an inductive approach. 27 codes were identified and collated into five themes. For the purposes of this paper, four themes are discussed: experiencing different work, developing attributes, negotiating barriers and changing future provision. Findings: Advanced Clinical Practitioners successfully transferred their advanced practice skills into areas of clinical need during the pandemic. Their autonomous and generic, high level of expertise equipped them for management and leadership positions where speed of change, and the dissolution of traditional professional boundaries, were prioritised. Barriers to progress included a lack of knowledge of the Advanced Clinical Practitioner role and friction between Advanced Clinical Practitioners and physicians. Discussion and conclusion: The study demonstrated the successful adaption of the Advanced Clinical Practitioner role to enable more creative, personalised and sustainable solutions in the care of older people living with frailty during the pandemic. The potential of Advanced Clinical Practitioner development is in a juxtaposition to the threat of pandemic services being dismantled once the emergency nature of care has passed. Healthcare organisations have a vital part to play in considering the enablers and barriers of Advanced Clinical Practitioner capability-based practice when responding to uncertainty. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/changing-role-advanced-clinical-practitioners/docview/2699733648/se-2?accountid=14902	2022-10-04 23:30:39	6	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	3	International Journal of Nursing Studies	1	3	morley,,dawna	morley,	dawna
4	Author'S Response To “Comment On Kong Et Al. (2021) 'The Prevalence Of Frailty Among Community-Dwelling Older Adults With Diabetes: A Meta-Analysis'”	2022	4	10.1016/j.ijnurstu.2021.104156			3	126			Reply by the current authors to the comments on Comment on Kong et al. (2021) “The prevalence of frailty among community-dwelling older adults with diabetes: a meta-analysis” made by H. Liu et al. (2021) on the original article The prevalence of frailty among community-dwelling older adults with diabetes: a meta-analysis (2021). The authors strongly agree with Liu et al. on the role of characteristics of diabetes in the development of physical frailty. Existing evidence has shown that diabetes tends to cause impairment of muscle and nerve function, cardiopulmonary reserve and executive function, leading to the development and progression of frailty. Diabetes-related complications particularly renal impairment, dementia and hypertension were significantly associated with frailty in older adults. Additionally, older adults with diabetes have a higher risk of malnutrition due to overly restricted diet, reduced appetite and swallowing difficulties. In the meta-analysis, the pooled estimate showed no significant association between age and frailty in diabetes based on data from two studies. Age may also have a similar effect on frailty in older adults with diabetes. Due to limited studies focused on frailty in diabetes, future prospective studies are needed to further confirm the relationship between age and frailty in diabetes. Higher consistency in measurement of frailty can improve our understanding of the implications of frailty. However, multifaceted and complex nature of frailty makes unlikely broad agreement upon a single definition of frailty. Moreover, just as Liu et al. pointed out, the cut-off point of the instrument may need to be adjusted when it is used in different ethnic groups to improve the diagnostic accuracy. (PsycInfo Database Record (c) 2022 APA, all rights reserved)	https://www.proquest.com/scholarly-journals/authors-response-comment-on-kong-et-al-2021/docview/2684634027/se-2?accountid=14902	2022-10-04 23:30:39	2	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	3	International Journal of Nursing Studies	1	4	kong,,ling-na	kong,	ling-na
5	Occupational Therapy In The Emergency Department: Patient Frailty And Unscheduled Return Visits	2021	5	10.1177/00084174211051165			5	88	4	395.0	Background: Occupational therapy facilitates care for complex frail emergency department (ED) patients who may have unscheduled return visits (URVs). Purpose: To determine the prevalence of frailty amongst ED patients referred to occupational therapy and if frailty affected the rates and reasons for URVs. Methods: A mixed-methods health records review was conducted of older adults referred to an ED-based occupational therapy program. Findings: Most patients were frail (60.6%). 31.0% of patients discharged home had a URV within 30 days, with no difference in URV rates between frail and non-frail populations. Providing occupational therapy education reduced the frequency of URVs. Frail patients had complex reasons for their URVs, including functional, social/environmental, safety concerns, and/or “failure to thrive”. Occupational therapy ED patients were typically vulnerable to moderately frail, dependent in some activities of daily living, and complex. Implications: ED-based occupational therapists must be aware of their patient's frailty and risk of URVs. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/occupational-therapy-emergency-department-patient/docview/2712882428/se-2?accountid=14902	2022-10-04 23:30:39	3	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	5	Canadian Journal of Occupational Therapy / Revue Canadienne D'Ergothérapie		5	trenholm,,jessier	trenholm,	jessier
6	„Frailty“ Bei Nephrologischen Erkrankungen	2021	6	10.1007/s00391-021-01953-0			6	54	7	708.0	The term frailty describes a complex syndrome of reduced resistance to stress factors as a consequence of age-related degeneration in various organ systems. In the general population frailty is associated with poor clinical outcomes, including an increased risk of falls, hospitalization, functional impairment and mortality. Frailty occurs earlier and its prevalence is higher in patients with chronic kidney disease (CKD) compared to the general population. Frail patients with CKD, on dialysis or not, have reduced quality of life and increased hospitalization and mortality rates, regardless of age, sex or comorbidities. The identification of frailty in patients with CKD can lead to the detection of important and potentially modifiable risk factors. Early nephrological evaluation coupled with an interdisciplinary approach including primary care physicians, geriatricians, physiotherapists, occupational therapists and nutritionists, is fundamental in the prevention of frailty as well as in the management of frail patients with CKD. Several instruments have been developed to screen for and assess the degree of frailty; however, there is currently no recommendation as to which should be used in nephrology and how to manage frail patients with CKD. In this article we suggest an approach based on a multidimensional, interdisciplinary evaluation aimed at the early identification and management of frail CKD patients independent of the clinical setting of admission; however, more important than the method used is the need to identify and follow-up on frail CKD patients. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/frailty-bei-nephrologischen-erkrankungen/docview/2706240622/se-2?accountid=14902	2022-10-04 23:30:39	2	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	6	Zeitschrift für Gerontologie und Geriatrie		6	schulte-kemna,,lena	schulte-kemna,	lena
7	Education, Wealth, And Duration Of Life Expected In Various Degrees Of Frailty	2021	7	10.1007/s10433-020-00587-2			1	18	3	393.0	Multistate life tables are used to estimate life expected in three frailty states: frailty free, mild/moderate frailty, severe frailty. Estimates are provided for the combination of education and wealth by age, stratified by sex. Data consider 17,115 cases from the Health and Retirement Study, 2000–2014. Frailty is measured using a 59 item frailty index based on deficit accumulation. Estimates are derived using stochastic population analysis for complex events. Population-based and status-based results are reported. Findings confirm a hypothesis that the combination of higher education and wealth results in longer lives in more favorable degrees of frailty. Also, as hypothesized, wealth generally affords a greater advantage than does education among those with severe frailty at baseline. For instance, high wealth provides a 70-year-old woman with severe frailty at baseline 0.70 more total years and 0.81 more frailty free years then her counterpart with low wealth, compared to gains of 0.39 and 0.54, respectively, for those with high education. Unexpectedly, wealth also has a greater role among those frailty free at baseline. A 70-year-old woman frailty free at baseline with high wealth lives 3.19 more net years and 4.13 more years frailty free than her counterpart with low wealth, while the same comparison for high versus low education indicates advantages of 2.00 total and 1.96 frailty free years. Relative change ratios also indicate more robust results for wealth versus education. In sum, there is evidence that inequality in duration of life in degrees of frailty is socially patterned. (PsycInfo Database Record (c) 2021 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/education-wealth-duration-life-expected-various/docview/2511311630/se-2?accountid=14902	2022-10-04 23:30:39	2	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	1	European Journal of Ageing		7	zimmer,,zachary	zimmer,	zachary
8	The Relationship Between Insomnia Symptoms And Frailty In Community-Dwelling Older Persons: A Path Analysis	2021	8	10.1016/j.sleep.2021.05.039			8	84		237.0	Background: The relationship between sleep and frailty in older age is complex. Most previous studies focused on sleep duration, while insomnia, a common sleep problem in older adults, has not been adequately examined and the factors implicated in its association with frailty were under-explored. Methods: A community-based sample of 345 prefrail and frail older adults were recruited and completed the measures on insomnia symptoms (Pittsburgh Sleep Quality Index) and frailty status (FRAIL Scale). The relationship between insomnia symptoms and frailty, with potential mediators including physical performance (Short Physical Performance Battery), depression (Patient Health Questionnaire-9), and level of physical activity (Physical Activity Scale for the Elderly), were tested in path analysis adjusting for age, gender, body mass index and sleep medications. Results: The prevalence of sleep-onset insomnia was higher in frail participants than their prefrail counterparts (48% vs. 34%, aOR = 1.73; 95% CI 1.09, 2.76; p = 0.02), but there was no significant difference in the prevalence of sleep-maintenance insomnia (61% vs. 54%). The association between sleep-onset insomnia and frailty was explained by reduced physical performance (standardized coefficient = 0.11; 95% BCa CI [0.002, 0.233]), but not depression and level of physical activity. Sleep-maintenance insomnia was not associated with frailty. Conclusions: Insomnia symptoms are prevalent in frail and prefrail older adults. Sleep-onset insomnia is associated with poorer physical performance, which is further linked to a higher risk for frailty in older persons. The findings highlight the importance of timely assessing and managing insomnia among older adults at risk of frailty. (PsycInfo Database Record (c) 2022 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/relationship-between-insomnia-symptoms-frailty/docview/2695432863/se-2?accountid=14902	2022-10-04 23:30:39	3	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	8	Sleep Medicine		8	tang,,jenniferyee-man	tang,	jenniferyee-man
9	Efficiency And Effectiveness Of Geriatric Drug Infographics: A Randomized, Controlled Trial	2021	9	10.1111/jgs.17193			9	69	8	2355.0	The letter presents a study on the efficiency and effectiveness of geriatric drug infographics. Through a randomized controlled trial (RCT), authors sought to develop geriatric drug infographics (GDIs) and evaluate their potential to improve clinician pharmacotherapy learning to mitigate ADEs in older, medically complex, and frail adults. This is the first study describing the development and evaluation of infographics to facilitate clinician learning about pharmacotherapy for older adults. Combining text and graphic depictions of information stems from dual-coding and cognitive load theories and improve knowledge retention.9,10 GDIs enhanced retrieval and retention of clinically relevant prescribing information compared to usual resources; however, the time required varied considerably, and may reflect the unfamiliarity with the novel infographics’ iconography, or the possibility of insufficient study power. With repeated use or explanatory aides (e.g., legend), the time required may decrease. Limitations include using clinical scenarios with multiple choice and very short answer questions rather than observing actual clinical practice due to feasibility. We were also unable to detect or prevent contamination between groups. Although we developed the GDIs and set the knowledge tests, they reflected real-world clinical questions, and were validated by external clinicians from multiple disciplines. (PsycInfo Database Record (c) 2021 APA, all rights reserved)	https://www.proquest.com/scholarly-journals/efficiency-effectiveness-geriatric-drug/docview/2571957345/se-2?accountid=14902	2022-10-04 23:30:39	2	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	9	Journal of the American Geriatrics Society		9	tung,,jennifer	tung,	jennifer
10	Can An Individualized Adherence Education Program Delivered By Nurses Improve Therapeutic Adherence In Elderly People With Acute Myocardial Infarction?: A Randomized Controlled Study	2021	10	10.1016/j.ijnurstu.2021.103975			3	120			Background: The ageing of the population is leading to an increase in the number of elderly patients with acute myocardial infarction. These patients are at higher risk for complications and poor medication adherence, which in turn are associated with higher healthcare resource expenditures. Nursing programmes might help to improve adherence in these complex patients. Objective: The objective of this study was to assess the impact of a nursing intervention on therapeutic adherence in elderly patients after myocardial infarction compared to a control group. Design: A single-blind, randomized controlled trial. Settings: Heart disease institute of a tertiary care hospital. Participants: Patients aged ≥75 years with myocardial infarction undergoing percutaneous coronary intervention. Methods: A comprehensive geriatric assessment was performed during the admission in all patients (N=143). Patients were randomly allocated to a nursing intervention group (n=68) or a usual care group (n=75). In patients from the intervention group, a nursing intervention programme was performed 3 months after admission based on education support and patient monitoring to improve therapeutic adherence. The main outcome measured was 12-months therapeutic adherence, as defined by a combination of measurement tools (Morisky-Green and Hayness-Sacket scales, attendance at visits and withdrawal of medication from the pharmacy). Therapeutic adherence was assessed by nurses blinded to the assignment group. Results: The mean age was 82.2 years. The proportion of comorbidities was significant (diabetes mellitus 51/143 (35.7%), hypertension 110/143 (76.9%), prior stroke 22/143 (15.4%)). Likewise, the proportion of geriatric syndromes was noticeable (frailty 26/143 (18.2%), risk of malnutrition 38/143 (26.6%), cognitive impairment 28/143 (19.6%)). Most patients (92.3%) had a low educational level. A total of 119 patients achieved 12-month assessment adherence. Among these patients, the proportions of adherence were as follows: Morisky-Green test: 76/119 (63.9%), Haynes-Sackett test 99/119 (83.2%), medical visits compliance 95/119 (79.8%), and correct acquisition of drugs in the pharmacy 74/119 (62.2%). A total of 42/119 patients (35.3%) were adherent as defined by the combination of the 4 measures. Therapeutic adherence at 12 months was achieved in a significantly higher proportion of patients from the nursing intervention group (51.9% vs 21.5%, p&lt;0.001). Conclusion: A significant proportion of elderly patients with myocardial infarction were non-adherent at 12 months. The proportion of adherent patients was highly variable according to the different tools used. A structured nursing intervention was independently associated with a higher adherence rate, as assessed by a multidimensional measurement, in this subset of complex high-risk elderly patients with myocardial infarction. (PsycInfo Database Record (c) 2021 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/can-individualized-adherence-education-program/docview/2561514893/se-2?accountid=14902	2022-10-04 23:30:39	7	ProQuestallagingandcomplexityorcomplexandfrailandnurs_2022-10-03.xls	1	3	International Journal of Nursing Studies	1	10	calvo,,elena	calvo,	elena
