	id	title	year	auth_id	doi	pmid	umi	journal_id	volume	issue	start_page	abstract	url	date_added	repeats	filename	nursauth	id_1	name	nurs	id_2	name_3	lastname	firstname	title_use	abstract_mentions_count	complexity_mentions	complexity_title_use
182	183	Defining Complex Patient Populations: Implications For Population Size, Composition, Utilization, And Costs.	2022.0	233	10.1007/s11606-021-06815-4	34080109.0		233	37	2	351	BACKGROUND: Interventions to support patients with complex needs have proliferated in recent years, but the question of how to identify patients with complex needs has received relatively little attention. There are innumerable ways to structure inclusion and exclusion criteria for complex care interventions, and little is known about the implications of choices made in designing patient selection criteria. OBJECTIVE: To provide insights into the design of patient selection criteria for interventions, by implementing criteria sets within a large health plan member population and comparing the characteristics of the resulting complex patient cohorts. DESIGN: Retrospective observational descriptive study. SUBJECTS: Patients identified as having complex needs, within the membership population of Kaiser Permanente Southern California, a large, population-based health plan with more than 4 million members. We characterize five commonly used archetypes of complex needs: high-cost patients, patients with multiple chronic conditions, frail elders, emergency department high-utilizers, and inpatient high-utilizers. MEASURES: We selected an initial set of criteria for identifying patients in each of the archetypical complex populations, based on available administrative data. We then tested multiple variants of each definition. We compared the resulting patient cohorts using univariate and bivariate descriptive statistics. KEY RESULTS: Overall, 32.7% of the 3,112,797 adults in our population-based sample were selected by at least one of the 25 definitions of complexity we tested. Across definitions the total number of patients identified as complex ranged from 622,560 to 1583 and complex patient cohorts varied widely in demographic characteristics, chronic conditions, healthcare utilization, spending, and survival. CONCLUSIONS: Choice of patient population is critical to the design of complex care programs. Exploratory analyses of population criteria can provide useful information for program planning in the setting of limited resources for interventions. Data such as these should be generated as a key step in program design.		2023-01-03 03:44:56	0	pubmed-frailtyMeS-complexorcomplexity-allaging-alljour-2022.10.03.txt		233	Journal Of General Internal Medicine		233	davis,anna.c	Davis	Anna C	1.0	11.0	1.0	0.0
55	56	The Multiscale Dynamics Of Beat-To-Beat Blood Pressure Fluctuation Mediated The Relationship Between Frailty And Arterial Stiffness In Older Adults		77	10.1093/gerona/glac035	35143675.0	WOS:000784541900001	77				Background Beat-to-beat blood pressure (BP) is an important cardiovascular output and regulated by neurophysiological elements over multiple temporal scales. The multiscale dynamics of beat-to-beat BP fluctuation can be characterized by BP complexity and has been linked to age-related adverse health outcomes. We here aimed to examine whether BP complexity mediates the association between arterial stiffness and frailty. Method This cross-sectional study was completed between January and October 2021. A total of 350 older adults completed assessments for frailty, arterial stiffness (ie, average brachial-ankle pulse wave velocity), and beat-to-beat finger BP. The complexity of beat-to-beat systolic blood pressure (SBP) and diastolic blood pressure (DBP) BP series was measured using multiscale entropy. The relationships between frailty, BP complexity, and arterial stiffness were examined using analysis of variance and linear regression models. The effects of BP complexity on the association between arterial stiffness and frailty were examined using mediation analyses. Results Compared with non-frail, prefrail, and frail groups had significantly elevated lower SBP and DBP complexity (F > 11, p < .001) and greater arterial stiffness (F = 16, p < .001). Greater arterial stiffness was associated with lower BP complexity (beta < -0.42, p < .001). Beat-to-beat SBP and DBP complexity mediated the association between arterial stiffness and frailty (indirect effects >0.28), accounting for at least 47% of its total effects on frailty (mediated proportion: SBP: 50%, DBP: 47%). Conclusion This study demonstrates the association between BP complexity and frailty in older adults, and BP complexity mediates the association between arterial stiffness and frailty, suggesting that this metric would serve as a marker to help characterize important functions in the older adults.		2023-01-03 03:41:46	0	complexityorcomplextiorabandallaging_onlynursing_2022.10.03.xls	1.0	77	Journals Of Gerontology Series A-Biological Sciences And Medical Sciences		77	jiang,xin	jiang	xin	0.0	10.0	10.0	0.0
42	43	Improving Detection Of Client Complexity In The Community (Impact): A Study Protocol Of A Pragmatic Randomized Controlled Trial	2021.0	50	10.3390/mps4040070	34698219.0	WOS:000735508100001	50	4	4		Background: Community-dwelling older clients are becoming increasingly complex. Detecting this complexity in clinical practice is limited, with greater reliance on community nurses' clinical judgment and skills. The lack of a consistent approach to complexity impacts the level of care and support for older clients to remain in their homes for longer. Objective: To examine the effectiveness of the Patient Complexity Instrument (PCI) in addition to nurses' clinical judgment to enhance detection of complexity, and subsequent older clients' resource allocation compared to usual nursing assessment. Design: A pragmatic randomized controlled trial will be conducted within a community nursing service in regional Victoria, Australia. Clients 65 years and over referred to the service who are eligible for Commonwealth Home Support Programme (CHSP) funding will be randomized into Control group: usual nursing assessment or Intervention group: usual nursing assessment plus the PCI. Nurse participants are Registered Nurses currently employed in the community nursing service. Results: This study will explore whether introducing the PCI in a community nursing service enhances detection of complexity and client care resource allocation compared to nurses' clinical judgment based on usual nursing assessment. Conclusion: This protocol outlines the study to enhance the detection of complexity by nurses delivering care for community-dwelling older people in the regional Australian context. The findings will inform the use of a standardized tool to detect complexity among community-dwelling older Australians.		2023-01-03 03:41:46	0	complexityorcomplextiorabandallaging_onlynursing_2022.10.03.xls	1.0	50	Methods And Protocols		50	boak,jennifer	boak	jennifer	1.0	8.0	7.0	1.0
146	147	Modified Fragility Index And Surgical Complexity Score Are Able To Predict Postoperative Morbidity And Mortality After Cytoreductive Surgery For Advanced Ovarian Cancer.	2021.0	189	10.1016/j.ygyno.2020.08.022	33223220.0		143	161	1	4	OBJECTIVE: The aim of this study was to assess the impact of surgical complexity on postoperative complications and mortality, according to patient's frailty (mFI) following surgery for ovarian cancer. METHODS: Patients undergoing cytoreductive surgery for ovarian cancer from 2008 to 2018 were identified from our database. A surgical complexity score from 1 to 3 was used to assess the extent of surgery (simple to complex, respectively). mFI with 11 variables, based on mapping the Canadian Study of Health and Aging Frailty Index to the NSQIP comorbidities was evaluated. Data were analyzed using Fisher exact test, independent sample t-test, and logistic regression. RESULTS: Of 263 patients identified, 33% reported at least one postoperative complication and 6% had severe complications. BMIÂ â‰¥Â 30 (pÂ =Â 0.04) increased mFI (pÂ =Â 0.04) and high-complexity surgery (pÂ <Â 0.001) were independent predictors of severe complications (G3-G5). Patients with high frailty index score (mFIÂ â‰¥Â 3) who underwent intermediate or high-complexity surgery were at higher risk of severe complications ranging from 29.4% to 50. CONCLUSIONS: The combined evaluation of mFI and surgical complexity expected may identify patients at higher risk for severe morbidity allowing to stratify patients who are less likely to tolerate a surgical extensive treatment.		2023-01-03 03:44:56	0	pubmed-frailtyMeS-complexorcomplexity-allaging-alljour-2022.10.03.txt		143	Gynecologic Oncology		189	di donato,violante	Di Donato	Violante	1.0	6.0	5.0	1.0
120	121	Strategies To Simplify Complex Medication Regimens.	2021.0	156	10.31128/AJGP-04-20-5322	33543163.0		156	50	1-2	43	BACKGROUND: Older people use increasingly complex medication regimens. Complex regimens are challenging to administer, particularly for those with cognitive impairment, frailty, poor eyesight or limited dexterity. Complex regimens have been linked to non-adherence, medication errors and hospital admissions. OBJECTIVE: The aim of this article is to describe strategies to reduce the complexity of medication regimens in community and residential aged care settings. DISCUSSION: Medication regimen simplification is the process of reducing medication burden through strategies such as consolidating dosing times, standardising routes of administration, using long-acting rather than shorter-acting formulations, and switching to combination products in place of single-ingredient products. Obtaining a best possible medication history, ensuring appropriateness of current therapy, and deprescribing are important steps prior to implementing regimen simplification. Implementing such strategies should be based on a discussion and consideration of patient preferences, and include clinical judgement to limit the risk of unintended consequences for patients or carers.		2023-01-03 03:44:56	0	pubmed-frailtyMeS-complexorcomplexity-allaging-alljour-2022.10.03.txt		156	Australian Journal Of General Practice		156	bell,j.simon	Bell	J Simon	1.0	4.0	1.0	0.0
62	63	Assessing Multidimensional Complexity In Home Care: Congruencies And Discrepancies Between Patients And Nurses.	2022.0	89	10.1186/s12912-022-00942-x			87	21	1	1	Background: Person-centered care allows for the inclusion of the totality of a person's needs and preferences, beyond just the clinical or medical aspect. This approach requires the development of tools to allow for the integration of the patient in his/her healthcare. Based on a 30-item tool developed for nurses to evaluate the complexity of home care situations (COMID), this study proposed a version for the patients (i.e. COMID-P). Both instruments were used, independently by nurses and patients, to rate the complexity of individual situations, in order to compare ratings. Methods: The COMID-P and the COMID were completed during the fraXity study at the patients' homes, independently by patients (aged 65 and over) and nurses. Item-level and scale-level analyses were performed using, Kappa and McNemar tests, and intra-class correlation (ICC). Results: A total of 159 pairs of COMID and COMID-P ratings were retained for analyses. Results demonstrated a high degree of patient/nurse agreement for 12/30 items, a moderate agreement for 10/30 items, and a low degree of agreement for 7/30 items. The intra-class correlation between the COMID-P and the COMID was high (ICC=.826, 95%CI [.761-.873]). Conclusions: The results demonstrate that patients and nurses can assess complexity using tools that have comparable structural properties. They also reveal congruencies and discrepancies in scoring the components of complexity, highlighting the need of reaching consensus in designing care plans. Further work is needed to demonstrate the benefits of joint assessment in developing care plans that truly meet patients' needs. Trial registration: The fraXity study was registered in ClinicalTrials.gov, NCT03883425, on March 20, 2019.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=157630821&site=ehost-live	2023-01-03 03:42:38	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2022.10.03.xml	0.0	87	BMC Nursing	1.0	89	busnel,catherine	busnel	catherine	1.0	4.0	4.0	1.0
170	171	Exploring Rehabilitation Potential In Older People Living With Frailty: A Qualitative Focus Group Study.	2021.0	220	10.1186/s12877-021-02107-y	33676401.0		16	21	1	165	"BACKGROUND: Rehabilitation interventions are frequently cited as key in supporting frail older people's recovery following periods of decompensation and acute ill-health. Clinicians are required to make decisions about a patient's potential to respond to rehabilitation. 'Rehabilitation potential' decisions can determine access to services. In acute settings clinicians have limited time to assess and work with patients, families and carers. The complexities of ageing, recovery, rehabilitation and frailty may not be fully appreciated. This study aimed to explore multiple perspectives of the concept of rehabilitation potential and how it is assessed in older people living with frailty in the acute healthcare setting. METHODS: Five focus groups with a purposive sample of 28 participants which included clinicians and members of the public were conducted. Analysis comprised a thematic approach using the Framework method. RESULTS: Rehabilitation potential was found to encapsulate a complex decision-making process where clinicians judged an individual's ability to benefit from and participate in targeted rehabilitation. They asked, ""Will it work?"", ""Is it wanted?"" and ""Is it available?"" In order to predict who would benefit from rehabilitation interventions, clinicians assessed a range of holistic clinical and non-clinical factors. An iterative approach to assessment delivered by a multi-disciplinary team, centred around patient and carer needs and wants was needed to accommodate complexity. Participants believed that everyone had some form of potential but this was dependent on availability of rehabilitation resources and conceptualisations of frailty and rehabilitation. Tensions between iterative approaches to rehabilitation potential assessment and the realities of rapid decision making in the acute hospital setting were found. CONCLUSION: Rehabilitation potential decisions involve a complex process of multidisciplinary decision-making and prognostication on the likely outcome and benefit from rehabilitation programmes. These findings lay the foundation for developing structured approaches to rehabilitation potential decision making tools and guidance."		2023-01-03 03:44:56	0	pubmed-frailtyMeS-complexorcomplexity-allaging-alljour-2022.10.03.txt		16	Bmc Geriatrics		220	cowley,a	Cowley	A	0.0	4.0	1.0	0.0
178	179	Improving Individualized Prescription In Patients With Multimorbidity Through Medication Review.	2022.0	186	10.1186/s12877-022-03107-2	35549672.0		16	22	1	417	BACKGROUND: Older patients tend to have multimorbidity, represented by multiple chronic diseases or geriatric conditions, which leads to a growing number of prescribed medications. As a result, pharmacological prescription has become a major concern because of the increased difficulties to ensure appropriate prescription in older adults. The study's main objectives were to characterize a cohort of older adults with multimorbidity, carry out a medication review and compare the pharmacological data before and after the medication review globally and according to the frailty index. METHODS: This was a quasi-experimental (uncontrolled pre-post) study with a cohort of patientsâ€‰â‰¥â€‰65Â years old with multimorbidity. Data were collected from June 2019 to October 2020. Variables assessed included demographic, clinical, and pharmacological data, degree of frailty (Frail-VIG index), medication regimen complexity index, anticholinergic and or sedative burden index, and monthly drug expenditure. Finally, a medication review was carried out by an interdisciplinary team (primary care team and a consultant team with a geriatrician and a clinical pharmacist) by applying the Patient-CenteredÂ Prescription model to align the treatment with care goals. RESULTS: Four hundred twenty-eight patients were recruited [66.6% women; mean age 85.5 (SD 7.67)]. The mean frail index was 0.39 (SD 0.13), corresponding with moderate frailty. Up to 90% of patients presented at least one inappropriate prescription, and the mean of inappropriate prescriptions per patient was 3.14 (SD 2.27). At the three-month follow-up [mortality of 17.7% (nâ€‰=â€‰76)], the mean chronic medications per patient decreased by 17.96%, varying from 8.13 (SD 3.87) to 6.67 (SD 3.72) (pâ€‰<â€‰0.001). The medication regimen complexity index decreased by 19.03%, from 31.0 (SD 16.2) to 25.1 (SD 15.1), and the drug burden index mean decreased by 8.40%, from 1.19 (SD 0.82) to 1.09 (SD 0.82) (pâ€‰<â€‰0.001). A decrease in polypharmacy, medication regimen complexity index, and drug burden index was more frequent among frail patients, especially those with severe frailty (pâ€‰<â€‰0.001). CONCLUSIONS: An individualized medication review in frail older patients, applying the Patient-Centered Prescription model, decreases pharmacological parameters related to adverse drug effects, such as polypharmacy, therapeutical complexity, and anticholinergic and, or sedative burden. The benefits are for patients with frailty.		2023-01-03 03:44:56	0	pubmed-frailtyMeS-complexorcomplexity-allaging-alljour-2022.10.03.txt		16	Bmc Geriatrics		186	molist-brunet,nÃºria	Molist-Brunet	NÃºria	0.0	4.0	4.0	0.0
108	109	Frailty Index For Prediction Of Surgical Outcome In Ovarian Cancer: Results Of A Prospective Study.	2021.0	143	10.1016/j.ygyno.2021.02.012	33608143.0		143	161	2	396	BACKGROUND: Complete macroscopic tumor resection is the strongest prognostic factor for patients with ovarian cancer, which requires complex surgery for achievement. Based on the mostly advanced tumor stage and high symptom burden many patients are classified as frail which may limit optimal surgical outcome. Aim of this study is to evaluate the predictive ability of Frailty Index for surgical outcomes in patients with ovarian cancer. METHODS: This prospective study enrolled patients with ovarian cancer undergoing cytoreductive surgery. We classified frailty proposed by Mitnitski et al. regarding the cumulative deficit model of frailty. Utilizing Receiver Operator Characteristic (ROC) analysis and logistic regression, we determined predictive clinical factors for severe postoperative complications. The Kaplan-Meier method and log-rank test were used for overall survival analysis. RESULTS: Out of f 144 enrolled patients, the overall prevalence of frailty based on a Frailty Index >0.26 and Frailty Index >0.15 was 33% and 74%, respectively. The logistic regression shows that frail patients with a Frailty Index >0.26 (Odds ratio (OR): 3.64, 95% CI: 1.34-9.85, pÂ =Â 0.01), ECOG PSÂ >Â 1 (OR 6.33, 95% CI:1.31-30.51, pÂ =Â 0.02) and high surgical complexity score (OR 8.86, 95% CI:1.88-41.76, pÂ =Â 0.006) had a significant higher risk for severe postoperative complications. According to multivariable cox regression Frailty Index >0.15 (hazard ratio (HR) (HR 1.87, 95% CI: 1.01-3.47, pÂ =Â 0.048), residual tumor <1Â cm (HR 2.75, 95%CI: 1.53-4.99, pÂ =Â 0.001), residual tumor >1Â cm (HR 5.00, 95% CI: 2.74-9.13, pÂ <Â 0.001) and albumin<35.5Â g/dl (HR 1.92, 95% CI: 1.08-3.43, pÂ =Â 0.03) resulted as significant parameters for poor overall survival. Resulted as significant parameters for poor overall survival. CONCLUSION: Next to surgical complexity score, ECOG PSÂ >Â 1 and recurrent surgery, Frailty Index >0.26 is associated with severe postoperative complications in patients with ovarian cancer. Besides tumor residuals and low albumin levels a Frailty Index >0.15 predicts poor survival.		2023-01-03 03:44:56	0	pubmed-frailtyMeS-complexorcomplexity-allaging-alljour-2022.10.03.txt		143	Gynecologic Oncology		143	inci,melisa.guelhan	Inci	Melisa Guelhan	0.0	3.0	2.0	0.0
30	31	Sexual Harassment Or Disinhibition? Residential Care Staff Responses To Older Adults' Unwanted Behaviours.	2022.0	32	10.1111/opn.12433	34708549.0		11	17	3	e12433	BACKGROUND: The ethical complexity of residential care is especially apparent for staff responding to residents' inappropriate sexual expression, particularly when directed towards care workers as these residents are typically frail, often cognitively impaired, and require ongoing care. OBJECTIVES: To explore staff accounts of how they made meaning of and responded to residents' unwanted sexual behaviours directed towards staff. This exploration includes whether staff appeared to accept harassment as a workplace hazard to be managed, or an unacceptable workplace violation, or something else. METHODS: These qualitative data are drawn from a national two-arm mixed method study in Aotearoa New Zealand undertaken in 35 residential care facilities. Semi-structured interviews were conducted with 77Â staff, residents and family members. Interpretive description was used to analyse the data. RESULTS: Staff had numerous ways they used to respond to behaviours: (1) minimisation, deflection and de-escalation, where staff used strategies to minimise behaviours without requiring any accountability from residents; (2) holding residents accountable, where staff to some degree addressed the behaviour directly with residents; (3) blurred boundaries and complexities in intimate long-term care, where staff noted that in a context where touch is common-place, cognitive function was diminished and relationships were long-term, boundaries were easily breached; (4) dehumanising and infantilising residents' behaviours, where staff appeared to assert control through diminishing the residents' identity as an older person. It was evident that staff had developed considerable practice wisdom focused on preserving the care relationship although few referred to policy and education guiding practice. CONCLUSIONS: Staff appeared to be navigating a complex ethical terrain with thoughtfulness and skill. Care workers seemed reluctant to label resident behaviour as sexual harassment, and the term may not fit for staff where they perceive residents are frail and cognitively impaired. IMPLICATIONS FOR PRACTICE: Policy, education and clinical leadership are recommended to augment practice wisdom and ensure staff and resident safety and dignity and to determine how best to intervene with residents' unwanted sexual behaviours.		2023-01-03 03:39:18	3	pubmed-frailtyMeS-complexorcomplexity-allaging-_2022.10.03.txt	1.0	11	International Journal Of Older People Nursing	1.0	32	cook,catherine.m	Cook	Catherine M	0.0	3.0	1.0	0.0
