NCBI_ID,Journal,Publishers,Country_of_Publication,Language,Description,eISSN,ISSN,Year_1st_Published,Journal_URL
101269322,AACN advanced critical care,American Association of Critical-Care Nurses (AACN),United States,eng, Title from cover. Official publication of the American Association of Critical-Care Nurses.,1559-7776,1559-7768,2006,https://aacnjournals.org/aacnacconline
9508191,AACN clinical issues,Lippincott Williams & Wilkins,United States,eng," Issues have distinctive titles. Place of publication varies. Description based on: Vol. 6, no. 2 (May 1995). An official publication of the American Association of Critical-Care Nurses.",1538-9812,1079-0713,1995,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00044067-000000000-00000
9009969,AACN clinical issues in critical care nursing,J.B. Lippincott Co.,United States,eng, Each issue has also distintive title. Quarterly. Official publication of: the American Association of Critical-Care Nurses.,,1046-7467,1990,
0431420,AANA journal,American Association of Nurse Anesthetists,United States,eng, Official publication of the American Association of Nurse Anesthetists. Continues Journal of the American Association of Nurse Anesthetists.,2162-5239,0094-6354,1974,https://www.aana.com/publications/aana-journal
8207766,AANNT journal,The Association,United States,eng, Title from cover.,,0744-1479,1981,
8608669,AAOHN journal : official journal of the American Association of Occupational Health Nurses,Charles B Slack,United States,eng, Title from cover.,1938-2448,0891-0162,1986,http://whs.sagepub.com/
1251052,AARN news letter,Alberta Association Of Registered Nurses,Canada,eng," Description based on: Vol. 27, no. 1 (Jan. 1971); title from caption.",,0001-0197,1945,
9112807,"The ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc","Tucker Publications, Inc.",United States,eng," Semiannual, 1990; quarterly, 1991- . Description based on: Vol. 1, no. 2 (fall 1990); title from cover.",,1046-7041,1990,
9114562,The Academic nurse : the journal of the Columbia University School of Nursing,"School Of Nursing, Columbia University And The Office Of Professional Communication",United States,eng," Description based on: Vol. 9, no. 2 (fall 1990); title from cover. Journal of the Columbia University School of Nursing. Continues: SNC.",,1062-0249,1987,https://www.nursing.columbia.edu/about-us/news/publications
9305090,Accident and emergency nursing,Elsevier,England,eng, Four issues per yr. Title from cover. Imprint varies. Final issue consulted.,,0965-2302,1993,http://www.sciencedirect.com/science/journal/09652302
8704179,AD nurse,"Data Design, Inc.",United States,eng," Title from cover. Official journal of NOAADN,   -Mar./Apr. 1989.",,0887-2198,1986,
101549550,Advance for NPs & PAs,"Merion Publications, Inc.",United States,eng," Formed by the union of: Advance for nurse practitioners, and: Advance for physician assistants.",2325-6702,2325-6699,2010,
9892010,Advance for nurse practitioners,Merion Publications,United States,eng," Title from cover. Merged with: Advance for physician assistants, to form: Advance for NPs & PAs.",,1096-6293,1993,
9442478,Advanced practice nurse : APN,Petersons /Cog Publishing Group,United States,eng, Title from cover.,,1076-7231,1994,
9515177,Advanced practice nursing quarterly,Aspen Publishers,United States,eng," Title from cover. Issues have also distinctive titles. Published: Frederick, Md., fall 1995- .",,1080-4293,1995,
100911021,Advances in skin & wound care,Lippincott Williams & Wilkins,United States,eng, Title from cover.,1538-8654,1527-7941,2000,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00129334-000000000-00000
