NCBI_ID,Journal,Publishers,Country_of_Publication,Language,Description,eISSN,ISSN,Year_1st_Published,Journal_URL
101269322,AACN advanced critical care,American Association of Critical-Care Nurses (AACN),United States,eng, Title from cover. Official publication of the American Association of Critical-Care Nurses.,1559-7776,1559-7768,2006,https://aacnjournals.org/aacnacconline
0431420,AANA journal,American Association of Nurse Anesthetists,United States,eng, Official publication of the American Association of Nurse Anesthetists. Continues Journal of the American Association of Nurse Anesthetists.,2162-5239,0094-6354,1974,https://www.aana.com/publications/aana-journal
100911021,Advances in skin & wound care,Lippincott Williams & Wilkins,United States,eng, Title from cover.,1538-8654,1527-7941,2000,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00129334-000000000-00000
100901776,Assistenza infermieristica e ricerca : AIR,Il Pensiero Scientifico Editore,Italy,ita," Description based on: Vol. 18, n. 2 (apr.-giugno 1999); title from cover. Articles in Italian; summaries and table of contents also in English.",2038-1778,1592-5986,1999,http://www.air-online.it/
9207852,Australian critical care : official journal of the Confederation of Australian Critical Care Nurses,Confederation of Australian Critical Care Nurses,Australia,eng," Title from cover. Preceded by a ""Special edition"" issue released Sept. 1991. Continues: Confederation of Australian Critical Care Nurses journal.",,1036-7314,1992,http://www.sciencedirect.com/science/journal/10367314
9305903,The Australian journal of rural health,Wiley-Blackwell Publishing Asia,Australia,eng, Title from cover.,1440-1584,1038-5282,1992,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1584
9815827,British journal of community nursing,MA Healthcare Ltd,England,eng," Description based on: Vol. 3, no. 6 (June 1998); title from cover. Supplements accompany some vols. Some issues include supplements with title: Wound care. Some issues include supplements with title: Exudate supplement.",,1462-4753,199u,http://www.magonlinelibrary.com/toc/bjcn/current
9212059,British journal of nursing (Mark Allen Publishing),MA Healthcare,England,eng, 22 issues per year. Title from cover. Absorbed: Surgical nurse.,,0966-0461,1992,http://www.magonlinelibrary.com/toc/bjon/current
8910581,The Canadian journal of nursing research = Revue canadienne de recherche en sciences infirmières,SAGE Publishing,United States,eng," Issues for spring 1988-   also have title of previous publication on cover. Print issues ceased with v. 45, no. 4 (Dec. 2013). Articles chiefly in English with some in French; summaries in the other language.",1705-7051,0844-5621,1988,http://journals.sagepub.com/home/cjn
9705336,Clinical journal of oncology nursing,Oncology Nursing Press,United States,eng, Title from cover. Issued by: Oncology Nursing Society.,1538-067X,1092-1095,1997,https://cjon.ons.org/archive
8709115,Clinical nurse specialist CNS,Lippincott Williams & Wilkins,United States,eng, Title from cover.,1538-9782,0887-6274,1987,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00002800-000000000-00000
9208508,Clinical nursing research,Sage Periodicals Press,United States,eng, Title from cover.,1552-3799,1054-7738,1992,http://cnr.sagepub.com/archive/
